"ipa"	"SPE.syllabic"	"HC.syllabic"	"UFTc.SYLLABIC"	"JFH.vocalic "	"SPE.vocalic"	"HC.vocalic"	"UFTc.vocalic"	"UFTc.V-place"	"UFTc.approximant"	"JFH.consonantal"	"SPE.consonantal"	"HC.consonantal"	"UFTc.vocoid"	"SPE.sonorant"	"HC.sonorant"	"UFTc.sonorant"	"JFH.interrupted"	"SPE.continuant"	"HC.continuant"	"UFTc.continuant"	"JFH.voiced"	"SPE.voice"	"HC.voice"	"UFTc.voice"	"JFH.checked"	"SPE.glottal_(tertiary)_closure"	"HC.constr"	"UFTc.constricted"	"SPE.lateral"	"HC.lateral"	"UFTc.lateral"	"JFH.nasal"	"SPE.nasal"	"HC.nasal"	"UFTc.nasal"	"JFH.strident"	"SPE.strident"	"HC.strident"	"UFTc.strident"	"JFH.tense"	"SPE.heightened_subglottal_pressure"	"HC.spread"	"UFTc.spread"	"SPE.movement_of_glottal_closure"	"SPE.tense"	"SPE.covered"	"HC.tense"	"HC.ATR"	"UFTc.ATR"	"JFH.compact"	"SPE.high"	"HC.high"	"JFH.sharp"	"SPE.low"	"HC.low"	"JFH.diffuse"	"SPE.anterior"	"HC.anterior"	"UFTc.anterior (C)"	"UFTc.anterior (V)"	"UFTc.anterior (any)"	"JFH.grave"	"SPE.coronal"	"HC.coronal"	"UFTc.coronal (C)"	"UFTc.coronal (V)"	"UFTc.coronal (any)"	"SPE.back"	"HC.back"	"JFH.flat"	"SPE.round"	"HC.round"	"HC.labial"	"UFTc.labial (C)"	"SPE.distributed"	"HC.distributed"	"UFTc.distributed (C)"	"UFTc.distributed (V)"	"UFTc.distributed (any)"	"SPE.delayed_primary_release"	"SPE.delayed_release_of_secondary_closure"	"UFTc.C-place"	"UFTc.pharyngeal (C)"	"UFTc.lingual (C)"	"UFTc.dorsal (C)"	"UFTc.pharyngeal (V)"	"UFTc.labial (V)"	"UFTc.lingual (V)"	"UFTc.dorsal (V)"	"JFH.LONG"	"JFH.EXTRA"	"SPE.LONG"	"SPE.EXTRA"	"HC.LONG"	"HC.EXTRA"	"UFTc.LONG"	"UFTc.EXTRA"	"UFTc.open1"	"UFTc.open2"	"UFTc.open3"	"UFTc.open4"	"UFTc.open5"	"UFTc.open6"	"UFTc.pharyngeal (any)"	"UFTc.labial (any)"	"UFTc.lingual (any)"	"UFTc.dorsal (any)"
"tr"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"-"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ts"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ts̀"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"t̪s̪"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"t̻s̻"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"t̪s̪ː"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"+"	"-"	"+"	"-"	"+"	"-"	"+"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tsʰ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"t̪s̪ʰ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tsʰʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"+"	"+"	"-"
"t̪s̪ʰʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"+"	"+"	"-"
"t̪s̪ɦ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"-"	"+"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tsʲ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"+"	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"t̺s̺ʲ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"+"	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tsjʰ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"+"	"+"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"ts͡kʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"."	"."	"."	"-"	"-"	"-"	"."	"+"	"+"	"+"	"n"	"+"	"."	"."	"."	"+"	"-"	"+"	"."	"."	"+"	"+"	"+"	"+"	"-"	"."	"."	"-"	"n"	"-"	"."	"n"	"x"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"+"	"+"	"+"	"+"
"tsʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"+"	"+"	"+"	"-"
"tswʰ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"n"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"+"	"+"	"-"
"tsx"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"-"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"."	"."	"."	"-"	"."	"."	"."	"+"	"+"	"+"	"n"	"+"	"."	"."	"."	"+"	"o"	"+"	"."	"."	"-"	"-"	"-"	"-"	"-"	"."	"."	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"+"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"+"
"tsʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tsʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"t̪s̪ʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"t̪s̪ʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"o"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tsʼkxʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"-"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"."	"."	"."	"-"	"-"	"-"	"."	"+"	"+"	"+"	"n"	"+"	"."	"."	"."	"+"	"o"	"+"	"."	"."	"-"	"-"	"-"	"-"	"-"	"."	"."	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"+"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"+"
"tsʼkxʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"-"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"."	"."	"."	"-"	"-"	"-"	"."	"+"	"+"	"+"	"n"	"+"	"."	"."	"."	"+"	"o"	"+"	"."	"."	"-"	"-"	"-"	"-"	"-"	"."	"."	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"+"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"+"
"tsʼʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"+"	"+"	"-"
"tsʼʷ"	"-"	"-"	"-"	"-"	"-"	"-"	"x"	"x"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"n"	"+"	"-"	"+"	"+"	"+"	"-"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"n"	"-"	"+"	"n"	"x"	"-"	"+"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"+"	"+"	"-"
"tʂ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"n"	"."	"n"	"."	"n"	"n"	"."	"."	"."	"-"	"."	"."	"."	"-"	"-"	"."	"n"	"-"	"."	"+"	"+"	"+"	"o"	"+"	"."	"."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tʂʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"."	"."	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"."	"."	"."	"-"	"."	"."	"."	"-"	"-"	"."	"n"	"-"	"."	"+"	"+"	"+"	"o"	"+"	"."	"."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
"tʂʼ"	"-"	"-"	"-"	"-"	"-"	"-"	"o"	"o"	"-"	"+"	"+"	"+"	"-"	"-"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"."	"."	"-"	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"."	"-"	"-"	"-"	"+"	"+"	"n"	"+"	"n"	"n"	"."	"."	"."	"-"	"."	"."	"."	"-"	"-"	"."	"n"	"-"	"."	"+"	"+"	"+"	"o"	"+"	"."	"."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"+"	"n"	"+"	"+"	"n"	"x"	"-"	"+"	"-"	"o"	"o"	"o"	"o"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"."	"."	"."	"."	"."	"."	"-"	"-"	"+"	"-"
