non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
tSH,tʃʰ,consonant,affricate,postalveolar,voiceless,aspirated
ÿ§H,ʈʂʰ,consonant,affricate,retroflex,voiceless,aspirated
kxh,kxʰ,consonant,affricate,velar,voiceless,aspirated
—h,ǃʰ,consonant,click,alveolar,voiceless,aspirated
‡h,ʘʰ,consonant,click,bilabial,voiceless,aspirated
–h,ǀʰ,consonant,click,dental,voiceless,aspirated
„h,ǁʰ,consonant,click,lateral,voiceless,aspirated
œh,ǂʰ,consonant,click,palatoalveolar,voiceless,aspirated
AUTO(tʼ),tʼʰ,consonant,ejective,alveolar,voiceless,aspirated
AUTO(pʼ),pʼʰ,consonant,ejective,bilabial,voiceless,aspirated
AUTO(qʼ),qʼʰ,consonant,ejective,uvular,voiceless,aspirated
AUTO(kʼ),kʼʰ,consonant,ejective,velar,voiceless,aspirated
sH,sʰ,consonant,fricative,alveolar,voiceless,aspirated
þh,ɕʰ,consonant,fricative,alveolopalatal,voiceless,aspirated
AUTO(ɬ),ɬʰ,consonant,fricative,lateral,voiceless,aspirated
AUTO(ʃ),ʃʰ,consonant,fricative,postalveolar,voiceless,aspirated
§h,ʂʰ,consonant,fricative,retroflex,voiceless,aspirated
xh,xʰ,consonant,fricative,velar,voiceless,aspirated
l8H,l̥ʰ,consonant,lateral-approximant,lateral,voiceless,aspirated
m8H,m̥ʰ,consonant,nasal,bilabial,voiceless,aspirated
ø8H,ɲ̥ʰ,consonant,nasal,palatal,voiceless,aspirated
N8H,ŋ̥ʰ,consonant,nasal,velar,voiceless,aspirated
tH,tʰ,consonant,stop,alveolar,voiceless,aspirated
pH,pʰ,consonant,stop,bilabial,voiceless,aspirated
AUTO(t̪),tʰ̪,consonant,stop,dental,voiceless,aspirated
t5H,t̪ʰ,consonant,stop,dental,voiceless,aspirated
AUTO(ʔ),ʔʰ,consonant,stop,glottal,voiceless,aspirated
pƒkh,p͡kʰ,consonant,stop,labiovelar,voiceless,aspirated
tlh,tlʰ,consonant,stop,lateral,voiceless,aspirated
cH,cʰ,consonant,stop,palatal,voiceless,aspirated
NEW_PARAMETER,k̠ʰ,consonant,stop,postvelar,voiceless,aspirated
ÿH,ʈʰ,consonant,stop,retroflex,voiceless,aspirated
ÿh,ʈʰ,consonant,stop,retroflex,voiceless,aspirated
qH,qʰ,consonant,stop,uvular,voiceless,aspirated
kH,kʰ,consonant,stop,velar,voiceless,aspirated
r8H,r̥ʰ,consonant,trill,alveolar,voiceless,aspirated
tshw,tsʰʷ,consonant,affricate,alveolar,voiceless,aspirated_labialized
tswh,tswʰ,consonant,affricate,alveolar,voiceless,aspirated_labialized
t5s5hw,t̪s̪ʰʷ,consonant,affricate,dental,voiceless,aspirated_labialized
tSHW,tʃʰʷ,consonant,affricate,postalveolar,voiceless,aspirated_labialized
AUTO(kxʰ),kxʰʷ,consonant,affricate,velar,voiceless,aspirated_labialized
tHW,tʰʷ,consonant,stop,alveolar,voiceless,aspirated_labialized
phw,pʰʷ,consonant,stop,bilabial,voiceless,aspirated_labialized
pHW,pʰʷ,consonant,stop,bilabial,voiceless,aspirated_labialized
AUTO(tlʰ),tlʰʷ,consonant,stop,lateral,voiceless,aspirated_labialized
qhw,qʰʷ,consonant,stop,uvular,voiceless,aspirated_labialized
kHW,kʰʷ,consonant,stop,velar,voiceless,aspirated_labialized
kWH,kʰʷ,consonant,stop,velar,voiceless,aspirated_labialized
AUTO(tsʰʷ),tsʰʲʷ,consonant,affricate,alveolar,voiceless,aspirated_labialized_palatalized
AUTO(tʰʷ),tʰʲʷ,consonant,stop,alveolar,voiceless,aspirated_labialized_palatalized
AUTO(qʰʷ),qʰʲʷ,consonant,stop,uvular,voiceless,aspirated_labialized_palatalized
AUTO(kʰʷ),kʰʲʷ,consonant,stop,velar,voiceless,aspirated_labialized_palatalized
ntSHW,ⁿtʃʰʷ,consonant,affricate,postalveolar,voiceless,aspirated_labialized_prenasalized
AUTO(tsʰ),tsʰʲ,consonant,affricate,alveolar,voiceless,aspirated_palatalized
tsjh,tsjʰ,consonant,affricate,alveolar,voiceless,aspirated_palatalized
AUTO(tsʰ),tsʲʰ,consonant,affricate,alveolar,voiceless,aspirated_palatalized
AUTO(tʃʰ),tʃʰʲ,consonant,affricate,postalveolar,voiceless,aspirated_palatalized
AUTO(tʰ),tʰʲ,consonant,stop,alveolar,voiceless,aspirated_palatalized
tjh,tʲʰ,consonant,stop,alveolar,voiceless,aspirated_palatalized
AUTO(pʰ),pʰʲ,consonant,stop,bilabial,voiceless,aspirated_palatalized
pJH,pʲʰ,consonant,stop,bilabial,voiceless,aspirated_palatalized
AUTO(ʈʰ),ʈʰʲ,consonant,stop,retroflex,voiceless,aspirated_palatalized
ÿjh,ʈʲʰ,consonant,stop,retroflex,voiceless,aspirated_palatalized
AUTO(qʰ),qʰʲ,consonant,stop,uvular,voiceless,aspirated_palatalized
kJH,kʰʲ,consonant,stop,velar,voiceless,aspirated_palatalized
nth,ⁿtʰ,consonant,stop,alveolar,voiceless,aspirated_prenasalized
ntH,ⁿtʰ,consonant,stop,alveolar,voiceless,aspirated_prenasalized
mph,ᵐpʰ,consonant,stop,bilabial,voiceless,aspirated_prenasalized
mpH,ᵐpʰ,consonant,stop,bilabial,voiceless,aspirated_prenasalized
NkH,ᵑkʰ,consonant,stop,velar,voiceless,aspirated_prenasalized
AUTO(ⁿtʰ),ⁿtʰʷ,consonant,stop,alveolar,voiceless,aspirated_prenasalized_labialized
—qh,ǃqʰ,consonant,click,alveolar,voiceless,aspirated_q-accompaniment
‡qh,ʘqʰ,consonant,click,bilabial,voiceless,aspirated_q-accompaniment
–qh,ǀqʰ,consonant,click,dental,voiceless,aspirated_q-accompaniment
„qh,ǁqʰ,consonant,click,lateral,voiceless,aspirated_q-accompaniment
œqh,ǂqʰ,consonant,click,palatoalveolar,voiceless,aspirated_q-accompaniment
!d,ǃd,consonant,click,alveolar,voiceless,d-accompaniment
ts',tsʼ,consonant,affricate,alveolar,voiceless,glottalized
ts’,tsʼ,consonant,affricate,alveolar,voiceless,glottalized
tT',tθʼ,consonant,affricate,alveolar-to-dental,voiceless,glottalized
tT’,tθʼ,consonant,affricate,alveolar-to-dental,voiceless,glottalized
t§',tʂʼ,consonant,affricate,alveolar-to-retroflex,voiceless,glottalized
t§’,tʂʼ,consonant,affricate,alveolar-to-retroflex,voiceless,glottalized
pS',pʃʼ,consonant,affricate,bilabial-to-postalveolar,voiceless,glottalized
pS’,pʃʼ,consonant,affricate,bilabial-to-postalveolar,voiceless,glottalized
t5s5',t̪s̪ʼ,consonant,affricate,dental,voiceless,glottalized
t5s5’,t̪s̪ʼ,consonant,affricate,dental,voiceless,glottalized
NEW,pfʼ,consonant,affricate,labiodental,voiceless,glottalized
t6þ',t̻ɕʼ,consonant,affricate,laminal-alveolar-to-alveolopalatal,voiceless,glottalized
t6þ’,t̻ɕʼ,consonant,affricate,laminal-alveolar-to-alveolopalatal,voiceless,glottalized
tÂ',tɬʼ,consonant,affricate,lateral,voiceless,glottalized
tÂ’,tɬʼ,consonant,affricate,lateral,voiceless,glottalized
cC',cçʼ,consonant,affricate,palatal,voiceless,glottalized
cC’,cçʼ,consonant,affricate,palatal,voiceless,glottalized
cþ',cɕʼ,consonant,affricate,palatal-to-alveolopalatal,voiceless,glottalized
cþ’,cɕʼ,consonant,affricate,palatal-to-alveolopalatal,voiceless,glottalized
tS',tʃʼ,consonant,affricate,postalveolar,voiceless,glottalized
tSʼ,tʃʼ,consonant,affricate,postalveolar,voiceless,glottalized
ÿ§',ʈʂʼ,consonant,affricate,retroflex,voiceless,glottalized
ÿ§’,ʈʂʼ,consonant,affricate,retroflex,voiceless,glottalized
kx',kxʼ,consonant,affricate,velar,voiceless,glottalized
kx’,kxʼ,consonant,affricate,velar,voiceless,glottalized
ts’kx’,tsʼkxʼ,consonant,affricate-to-affricate,alveolar-to-velar,voiceless,glottalized
ts'kx',tsʼkxʼ,consonant,affricate-to-affricate,alveolar-to-velar,voiceless,glottalized
—/,ǃʔ,consonant,click,alveolar,voiceless,glottalized
‡/,ʘʔ,consonant,click,bilabial,voiceless,glottalized
–/,ǀʔ,consonant,click,dental,voiceless,glottalized
„/,ǁʔ,consonant,click,lateral,voiceless,glottalized
œ/,ǂʔ,consonant,click,palatoalveolar,voiceless,glottalized
NEW,tʼ̪,consonant,ejective,dental,voiceless,glottalized
NEW,t̻ʼ,consonant,ejective,laminal-alveolar,voiceless,glottalized
t’kx’,tʼkxʼ,consonant,ejective-to-affricate,alveolar-to-velar,voiceless,glottalized
t'kx',tʼkxʼ,consonant,ejective-to-affricate,alveolar-to-velar,voiceless,glottalized
s',sʼ,consonant,fricative,alveolar,voiceless,glottalized
s/,sʼ,consonant,fricative,alveolar,voiceless,glottalized
s’,sʼ,consonant,fricative,alveolar,voiceless,glottalized
s5',s̪ʼ,consonant,fricative,dental,voiceless,glottalized
s5’,s̪ʼ,consonant,fricative,dental,voiceless,glottalized
T',θʼ,consonant,fricative,interdental,voiceless,glottalized
T’,θʼ,consonant,fricative,interdental,voiceless,glottalized
f',fʼ,consonant,fricative,labiodental,voiceless,glottalized
f’,fʼ,consonant,fricative,labiodental,voiceless,glottalized
Â',ɬʼ,consonant,fricative,lateral,voiceless,glottalized
Â/,ɬʼ,consonant,fricative,lateral,voiceless,glottalized
Â’,ɬʼ,consonant,fricative,lateral,voiceless,glottalized
S',ʃʼ,consonant,fricative,postalveolar,voiceless,glottalized
S’,ʃʼ,consonant,fricative,postalveolar,voiceless,glottalized
x',xʼ,consonant,fricative,velar,voiceless,glottalized
x’,xʼ,consonant,fricative,velar,voiceless,glottalized
tl',tlʼ,consonant,stop,lateral,voiceless,glottalized
tl’,tlʼ,consonant,stop,lateral,voiceless,glottalized
NEW,qʔ,consonant,stop,uvular,voiceless,glottalized
AUTO(tsʼ),tsʼʰ,consonant,affricate,alveolar,voiceless,glottalized_aspirated
AUTO(tɬʼ),tɬʼʰ,consonant,affricate,lateral,voiceless,glottalized_aspirated
AUTO(tʃʼ),tʃʼʰ,consonant,affricate,postalveolar,voiceless,glottalized_aspirated
—kx/,ǃkxʔ,consonant,click,alveolar,voiceless,glottalized_kx-accompaniment
‡kx/,ʘkxʔ,consonant,click,bilabial,voiceless,glottalized_kx-accompaniment
–kx/,ǀkxʔ,consonant,click,dental,voiceless,glottalized_kx-accompaniment
„kx/,ǁkxʔ,consonant,click,lateral,voiceless,glottalized_kx-accompaniment
œkx/,ǂkxʔ,consonant,click,palatoalveolar,voiceless,glottalized_kx-accompaniment
ts’w,tsʼʷ,consonant,affricate,alveolar,voiceless,glottalized_labialized
ts'w,tsʼʷ,consonant,affricate,alveolar,voiceless,glottalized_labialized
AUTO(t̪s̪ʼ),t̪s̪ʼʷ,consonant,affricate,dental,voiceless,glottalized_labialized
tSw',tʃʷʼ,consonant,affricate,postalveolar,voiceless,glottalized_labialized
tSw’,tʃʷʼ,consonant,affricate,postalveolar,voiceless,glottalized_labialized
AUTO(tʃʼ),tʃʼʷ,consonant,affricate,postalveolar,voiceless,glottalized_labialized
AUTO(kxʼ),kxʼʷ,consonant,affricate,velar,voiceless,glottalized_labialized
S’w,ʃʼʷ,consonant,fricative,alveolar,voiceless,glottalized_labialized
S'w,ʃʼʷ,consonant,fricative,alveolar,voiceless,glottalized_labialized
AUTO(ɬʼ),ɬʼʷ,consonant,fricative,lateral,voiceless,glottalized_labialized
NEW,ħʼʷ,consonant,fricative,pharyngeal,voiceless,glottalized_labialized
NEW,χʼʷ,consonant,fricative,uvular,voiceless,glottalized_labialized
AUTO(xʼ),xʼʷ,consonant,fricative,velar,voiceless,glottalized_labialized
pw',pʷʼ,consonant,stop,bilabial,voiceless,glottalized_labialized
pw’,pʷʼ,consonant,stop,bilabial,voiceless,glottalized_labialized
AUTO(tlʼ),tlʼʷ,consonant,stop,lateral,voiceless,glottalized_labialized
qw',qʷʼ,consonant,stop,uvular,voiceless,glottalized_labialized
qw’,qʷʼ,consonant,stop,uvular,voiceless,glottalized_labialized
kw',kʷʼ,consonant,stop,velar,voiceless,glottalized_labialized
kw’,kʷʼ,consonant,stop,velar,voiceless,glottalized_labialized
AUTO(tsʼʷ),tsʼʲʷ,consonant,affricate,alveolar,voiceless,glottalized_labialized_palatalized
kl',klʼ,consonant,stop,velar,voiceless,glottalized_lateral
kl’,klʼ,consonant,stop,velar,voiceless,glottalized_lateral
AUTO(tsʼ),tsʼʲ,consonant,affricate,alveolar,voiceless,glottalized_palatalized
AUTO(tʃʼ),tʃʼʲ,consonant,affricate,postalveolar,voiceless,glottalized_palatalized
AUTO(s̪ʼ),s̪ʲʼ,consonant,fricative,dental,voiceless,glottalized_palatalized
AUTO(s̪ʼ),s̪ʼʲ,consonant,fricative,dental,voiceless,glottalized_palatalized
AUTO(θʼ),θʲʼ,consonant,fricative,interdental,voiceless,glottalized_palatalized
AUTO(θʼ),θʼʲ,consonant,fricative,interdental,voiceless,glottalized_palatalized
AUTO(xʼ),xʼʲ,consonant,fricative,velar,voiceless,glottalized_palatalized
tj',tʲʼ,consonant,stop,alveolar,voiceless,glottalized_palatalized
tj’,tʲʼ,consonant,stop,alveolar,voiceless,glottalized_palatalized
nts',ⁿtsʼ,consonant,affricate,alveolar,voiceless,glottalized_prenasalized
nts’,ⁿtsʼ,consonant,affricate,alveolar,voiceless,glottalized_prenasalized
ntS',ⁿtʃʼ,consonant,affricate,postalveolar,voiceless,glottalized_prenasalized
ntS’,ⁿtʃʼ,consonant,affricate,postalveolar,voiceless,glottalized_prenasalized
Nkx',ᵑkxʼ,consonant,affricate,velar,voiceless,glottalized_prenasalized
Nkx’,ᵑkxʼ,consonant,affricate,velar,voiceless,glottalized_prenasalized
/‡n,ʔʘn,consonant,click,alveolar,voiceless,glottalized_prenasalized
/„n,ʔǁn,consonant,click,lateral,voiceless,glottalized_prenasalized
NEW,ᵑkʼ,consonant,ejective,velar,voiceless,glottalized_prenasalized
mp',ᵐpʼ,consonant,stop,bilabial,voiceless,glottalized_prenasalized
mp’,ᵐpʼ,consonant,stop,bilabial,voiceless,glottalized_prenasalized
AUTO(ŋkxʼ),ᵑkxʼʷ,consonant,affricate,velar,voiceless,glottalized_prenasalized_labialized
—q/,ǃqʔ,consonant,click,alveolar,voiceless,glottalized_q-accompaniment
‡q/,ʘqʔ,consonant,click,bilabial,voiceless,glottalized_q-accompaniment
–q/,ǀqʔ,consonant,click,dental,voiceless,glottalized_q-accompaniment
„q/,ǁqʔ,consonant,click,lateral,voiceless,glottalized_q-accompaniment
œq/,ǂqʔ,consonant,click,palatoalveolar,voiceless,glottalized_q-accompaniment
NEW,k͡pm̥,consonant,stop,labiovelar,voiceless,labial-postnasalized
NEW,k͡pᵐ,consonant,stop,labiovelar,voiceless,labial-postnasalized
mts,ᵐts,consonant,affricate,alveolar,voiceless,labial-prenasalized
mtS,ᵐtʃ,consonant,affricate,postalveolar,voiceless,labial-prenasalized
mÂ,ᵐɬ,consonant,fricative,lateral,voiceless,labial-prenasalized
mS,ᵐʃ,consonant,fricative,postalveolar,voiceless,labial-prenasalized
mt,ᵐt,consonant,stop,alveolar,voiceless,labial-prenasalized
mkƒp,ᵐk͡p,consonant,stop,labiovelar,voiceless,labial-prenasalized
m—G,mǃG,consonant,click,alveolar,voiceless,labial-prenasalized_G_accompaniment
m‡G,mʘG,consonant,click,bilabial,voiceless,labial-prenasalized_G_accompaniment
m–G,mǀG,consonant,click,dental,voiceless,labial-prenasalized_G_accompaniment
mœG,mǂG,consonant,click,palatoalveolar,voiceless,labial-prenasalized_G_accompaniment
tsw,tsʷ,consonant,affricate,alveolar,voiceless,labialized
AUTO(t̪s̪),t̪s̪ʷ,consonant,affricate,dental,voiceless,labialized
tSW,tʃʷ,consonant,affricate,postalveolar,voiceless,labialized
tsƒkw,ts͡kʷ,consonant,affricate-to-stop,alveolar-to-velar,voiceless,labialized
tƒkw,tʃ͡kʷ,consonant,affricate-to-stop,postalveolar-to-velar,voiceless,labialized
tSƒkw,tʃ͡kʷ,consonant,affricate-to-stop,postalveolar-to-velar,voiceless,labialized
t’w,tʼʷ,consonant,ejective,alveolar,voiceless,labialized
t'w,tʼʷ,consonant,ejective,alveolar,voiceless,labialized
AUTO(pʼ),pʼʷ,consonant,ejective,bilabial,voiceless,labialized
AUTO(t̪ʼ),t̪ʼʷ,consonant,ejective,dental,voiceless,labialized
q’w,qʼʷ,consonant,ejective,uvular,voiceless,labialized
q'w,qʼʷ,consonant,ejective,uvular,voiceless,labialized
k’w,kʼʷ,consonant,ejective,velar,voiceless,labialized
k'w,kʼʷ,consonant,ejective,velar,voiceless,labialized
sW,sʷ,consonant,fricative,alveolar,voiceless,labialized
AUTO(ɸ),ɸʷ,consonant,fricative,bilabial,voiceless,labialized
hW,hʷ,consonant,fricative,glottal,voiceless,labialized
fW,fʷ,consonant,fricative,labiodental,voiceless,labialized
S6w,ʃ̥ʷ,consonant,fricative,laminal-postalveolar,voiceless,labialized
Âw,ɬʷ,consonant,fricative,lateral,voiceless,labialized
Cw,çʷ,consonant,fricative,palatal,voiceless,labialized
ðw,ħʷ,consonant,fricative,pharyngeal,voiceless,labialized
SW,ʃʷ,consonant,fricative,postalveolar,voiceless,labialized
AUTO(s̞),s̞ʷ,consonant,fricative,retracted_alveolar,voiceless,labialized
Xw,χʷ,consonant,fricative,uvular,voiceless,labialized
xw,xʷ,consonant,fricative,velar,voiceless,labialized
sƒkw,s͡kʷ,consonant,fricative-to-stop,alveolar-to-velar,voiceless,labialized
sƒwkw,s͡kʷ,consonant,fricative-to-stop,alveolar-to-velar,voiceless,labialized
Sƒkw,ʃ͡kʷ,consonant,fricative-to-stop,postalveolar-to-velar,voiceless,labialized
AUTO(m̥),m̥ʷ,consonant,nasal,bilabial,voiceless,labialized
tW,tʷ,consonant,stop,alveolar,voiceless,labialized
pW,pʷ,consonant,stop,bilabial,voiceless,labialized
t5w,t̪ʷ,consonant,stop,dental,voiceless,labialized
/w,ʔʷ,consonant,stop,glottal,voiceless,labialized
kƒpw,k͡pʷ,consonant,stop,labiovelar,voiceless,labialized
cw,cʷ,consonant,stop,palatal,voiceless,labialized
NEW_PARAMETER,k̠ʷ,consonant,stop,postvelar,voiceless,labialized
qw,qʷ,consonant,stop,uvular,voiceless,labialized
kW,kʷ,consonant,stop,velar,voiceless,labialized
AUTO(qʼʷ),qʼʰʷ,consonant,ejective,uvular,voiceless,labialized_aspirated
AUTO(kʼʷ),kʼʰʷ,consonant,ejective,velar,voiceless,labialized_aspirated
AUTO(tsʷ),tsʲʷ,consonant,affricate,alveolar,voiceless,labialized_palatalized
AUTO(tʃʷ),tʃʲʷ,consonant,affricate,postalveolar,voiceless,labialized_palatalized
AUTO(tʼʷ),tʼʲʷ,consonant,ejective,alveolar,voiceless,labialized_palatalized
AUTO(qʼʷ),qʼʲʷ,consonant,ejective,uvular,voiceless,labialized_palatalized
AUTO(kʼʷ),kʼʲʷ,consonant,ejective,velar,voiceless,labialized_palatalized
AUTO(sʷ),sʲʷ,consonant,fricative,alveolar,voiceless,labialized_palatalized
AUTO(fʷ),fʲʷ,consonant,fricative,labiodental,voiceless,labialized_palatalized
AUTO(ʃʷ),ʃʲʷ,consonant,fricative,postalveolar,voiceless,labialized_palatalized
AUTO(χʷ),χʲʷ,consonant,fricative,uvular,voiceless,labialized_palatalized
AUTO(xʷ),xʲʷ,consonant,fricative,velar,voiceless,labialized_palatalized
AUTO(tʷ),tʲʷ,consonant,stop,alveolar,voiceless,labialized_palatalized
AUTO(pʷ),pʲʷ,consonant,stop,bilabial,voiceless,labialized_palatalized
AUTO(qʷ),qʲʷ,consonant,stop,uvular,voiceless,labialized_palatalized
AUTO(kʷ),kʲʷ,consonant,stop,velar,voiceless,labialized_palatalized
AUTO(qʼʷ),qʼʷˁ,consonant,ejective,uvular,voiceless,labialized_pharyngealized
AUTO(kʼʷ),kʼʷˁ,consonant,ejective,velar,voiceless,labialized_pharyngealized
AUTO(xʷ),xʷˁ,consonant,fricative,velar,voiceless,labialized_pharyngealized
AUTO(qʷ),qʷˁ,consonant,stop,uvular,voiceless,labialized_pharyngealized
AUTO(kʷ),kʷˁ,consonant,stop,velar,voiceless,labialized_pharyngealized
ntSW,ⁿtʃʷ,consonant,affricate,postalveolar,voiceless,labialized_prenasalized
AUTO(ⁿdʷ),ⁿd̥ʷ,consonant,stop,alveolar,voiceless,labialized_prenasalized
AUTO(ᵑɡʷ),ᵑɡ̥ʷ,consonant,stop,velar,voiceless,labialized_prenasalized
X$w,χ̀ʷ,consonant,fricative,uvular,voiceless,labialized_tense
x$w,x̀ʷ,consonant,fricative,velar,voiceless,labialized_tense
k$w,k̀ʷ,consonant,stop,velar,voiceless,labialized_tense
AUTO(k̀ʷ),k̀ʷˁ,consonant,stop,velar,voiceless,labialized_tense_pharyngealized
N&,ᵑtw,consonant,stop,alveolar,voiceless,labialized_velar-prenasalized
kwú,kʷʱ,consonant,stop,velar,voiceless,labialized_voiced-aspirated
tþç,tɕɥ,consonant,affricate,alveolar-to-alveolopalatal,voiceless,labiopalatalized
sç,sɥ,consonant,fricative,alveolar,voiceless,labiopalatalized
þç,ɕɥ,consonant,fricative,alveolopalatal,voiceless,labiopalatalized
fl,fˡ,consonant,fricative,labiodental,voiceless,lateral
pl,pˡ,consonant,stop,bilabial,voiceless,lateral
p+,p*,consonant,stop,bilabial,voiceless,lax
tæ,t̂,consonant,stop,alveolar,voiceless,lenis
kæƒpæ,k̂͡p̂,consonant,stop,labiovelar,voiceless,lenis
kæ,k̂,consonant,stop,velar,voiceless,lenis
!n,ǃn,consonant,click,alveolar,voiceless,nasalized
—n,ǃn,consonant,click,alveolar,voiceless,nasalized
‡n,ʘn,consonant,click,bilabial,voiceless,nasalized
–n,ǀn,consonant,click,dental,voiceless,nasalized
œn,ǂn,consonant,click,palatoalveolar,voiceless,nasalized
h),h̃,consonant,fricative,glottal,voiceless,nasalized
AUTO(h̃),h̃ʷ,consonant,fricative,glottal,voiceless,nasalized_labialized
/—n,ʔǃn,consonant,click,alveolar,voiceless,nasalized_preglottalized
/–n,ʔǀn,consonant,click,dental,voiceless,nasalized_preglottalized
/œn,ʔǂn,consonant,click,palatoalveolar,voiceless,nasalized_preglottalized
tsj,tsʲ,consonant,affricate,alveolar,voiceless,palatalized
NEW,tsj,consonant,affricate,alveolar,voiceless,palatalized
t5s5j,t̺s̺ʲ,consonant,affricate,dental,voiceless,palatalized
AUTO(t̪s̪),t̪s̪ʲ,consonant,affricate,dental,voiceless,palatalized
tSj,tʃʲ,consonant,affricate,postalveolar,voiceless,palatalized
AUTO(ʈʂ),ʈʂʲ,consonant,affricate,retroflex,voiceless,palatalized
AUTO(tʼ),tʼʲ,consonant,ejective,alveolar,voiceless,palatalized
AUTO(pʼ),pʲʼ,consonant,ejective,bilabial,voiceless,palatalized
AUTO(pʼ),pʼʲ,consonant,ejective,bilabial,voiceless,palatalized
AUTO(t̪ʼ),tʲ̪ʼ,consonant,ejective,dental,voiceless,palatalized
AUTO(t̪ʼ),t̪ʲʼ,consonant,ejective,dental,voiceless,palatalized
AUTO(t̪ʼ),t̪ʼʲ,consonant,ejective,dental,voiceless,palatalized
q’j,qʼʲ,consonant,ejective,uvular,voiceless,palatalized
q'j,qʼʲ,consonant,ejective,uvular,voiceless,palatalized
AUTO(kʼ),kʲʼ,consonant,ejective,velar,voiceless,palatalized
k’j,kʼʲ,consonant,ejective,velar,voiceless,palatalized
k'j,kʼʲ,consonant,ejective,velar,voiceless,palatalized
sJ,sʲ,consonant,fricative,alveolar,voiceless,palatalized
AUTO(ɕ),ɕʲ,consonant,fricative,alveolopalatal,voiceless,palatalized
AUTO(ɸ),ɸʲ,consonant,fricative,bilabial,voiceless,palatalized
s5j,s̪ʲ,consonant,fricative,dental,voiceless,palatalized
hJ,hʲ,consonant,fricative,glottal,voiceless,palatalized
AUTO(θ),θʲ,consonant,fricative,interdental,voiceless,palatalized
fj,fʲ,consonant,fricative,labiodental,voiceless,palatalized
fJ,fʲ,consonant,fricative,labiodental,voiceless,palatalized
Sj,ʃʲ,consonant,fricative,postalveolar,voiceless,palatalized
AUTO(ʂ),ʂʲ,consonant,fricative,retroflex,voiceless,palatalized
Xj,χʲ,consonant,fricative,uvular,voiceless,palatalized
xj,xʲ,consonant,fricative,velar,voiceless,palatalized
xJ,xʲ,consonant,fricative,velar,voiceless,palatalized
AUTO(l̪̥),l̪̥ʲ,consonant,lateral-approximant,dental,voiceless,palatalized
AUTO(m̥),m̥ʲ,consonant,nasal,bilabial,voiceless,palatalized
AUTO(n̪̥),n̪̥ʲ,consonant,nasal,dental,voiceless,palatalized
tJ,tʲ,consonant,stop,alveolar,voiceless,palatalized
pJ,pʲ,consonant,stop,bilabial,voiceless,palatalized
AUTO(t̪),tʲ̪,consonant,stop,dental,voiceless,palatalized
t5j,t̪ʲ,consonant,stop,dental,voiceless,palatalized
AUTO(ʔ),ʲʔ,consonant,stop,glottal,voiceless,palatalized
AUTO(ʔ),ʔʲ,consonant,stop,glottal,voiceless,palatalized
NEW,t̪͆ʲ,consonant,stop,interdental,voiceless,palatalized
kƒpj,k͡pʲ,consonant,stop,labiovelar,voiceless,palatalized
AUTO(c),cʲ,consonant,stop,palatal,voiceless,palatalized
NEW_PARAMETER,k̟ʲ,consonant,stop,prevelar,voiceless,palatalized
ÿj,ʈʲ,consonant,stop,retroflex,voiceless,palatalized
qj,qʲ,consonant,stop,uvular,voiceless,palatalized
kJ,kʲ,consonant,stop,velar,voiceless,palatalized
AUTO(r̪ʲ),r̪̥ʲ,consonant,trill,dental,voiceless,palatalized
tSÖ,tʃˤ,consonant,affricate,postalveolar,voiceless,pharyngealized
p’³,pʼˤ,consonant,ejective,bilabial,voiceless,pharyngealized
p'³,pʼˤ,consonant,ejective,bilabial,voiceless,pharyngealized
q’³,qʼˤ,consonant,ejective,uvular,voiceless,pharyngealized
q'³,qʼˤ,consonant,ejective,uvular,voiceless,pharyngealized
s³,sˤ,consonant,fricative,alveolar,voiceless,pharyngealized
sÖ,sˤ,consonant,fricative,alveolar,voiceless,pharyngealized
s5Ö,s̪ˤ,consonant,fricative,dental,voiceless,pharyngealized
s5³,s̪ˤ,consonant,fricative,dental,voiceless,pharyngealized
h³,hˤ,consonant,fricative,glottal,voiceless,pharyngealized
f³,fˤ,consonant,fricative,labiodental,voiceless,pharyngealized
s6Ö,s̻ˤ,consonant,fricative,laminal-alveolar,voiceless,pharyngealized
NEW,çˤ,consonant,fricative,palatal,voiceless,pharyngealized
NEW,ħˤ,consonant,fricative,pharyngeal,voiceless,pharyngealized
X³,χˤ,consonant,fricative,uvular,voiceless,pharyngealized
tÖ,tˤ,consonant,stop,alveolar,voiceless,pharyngealized
t³,tˤ,consonant,stop,alveolar,voiceless,pharyngealized
pÖ,pˤ,consonant,stop,bilabial,voiceless,pharyngealized
p³,pˤ,consonant,stop,bilabial,voiceless,pharyngealized
t5Ö,t̪ˤ,consonant,stop,dental,voiceless,pharyngealized
t5³,t̪ˤ,consonant,stop,dental,voiceless,pharyngealized
/³,ʔˤ,consonant,stop,glottal,voiceless,pharyngealized
c³,cˤ,consonant,stop,palatal,voiceless,pharyngealized
q³,qˤ,consonant,stop,uvular,voiceless,pharyngealized
k³,kˤ,consonant,stop,velar,voiceless,pharyngealized
AUTO(ʔˤ),ʔʰˤ,consonant,stop,glottal,voiceless,pharyngealized_aspirated
AUTO(ʔˤ),ʔˤʰ,consonant,stop,glottal,voiceless,pharyngealized_aspirated
q³',qˤʼ,consonant,stop,uvular,voiceless,pharyngealized_glottalized
q³’,qˤʼ,consonant,stop,uvular,voiceless,pharyngealized_glottalized
