non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
NEW,ʕ̩ʼ,consonant,fricative,pharyngeal,voiced,glottalized_syllabic
NEW,ɣ̩ʼ,consonant,fricative,velar,voiced,glottalized_syllabic
NEW,l̩ʼ,consonant,lateral-approximant,lateral,voiced,glottalized_syllabic
NEW,n̩’,consonant,nasal,alveolar,voiced,glottalized_syllabic
NEW,m̩ʼ,consonant,nasal,bilabial,voiced,glottalized_syllabic
n%,n̏,consonant,nasal,alveolar,voiced,heavy
m%,m̏,consonant,nasal,bilabial,voiced,heavy
d%,d̏,consonant,stop,alveolar,voiced,heavy
b%,b̏,consonant,stop,bilabial,voiced,heavy
NEW_PARAMETER,ˀn̏,consonant,nasal,alveolar,voiced,heavy_preglottalized
NEW_PARAMETER,ˀm̏,consonant,nasal,bilabial,voiced,heavy_preglottalized
g—kx/,ɡǃkx,consonant,click,alveolar,voiced,kx-accompaniment
g‡kx/,ɡʘkx,consonant,click,bilabial,voiced,kx-accompaniment
g–kx/,ɡǀkx,consonant,click,dental,voiced,kx-accompaniment
g„kx/,ɡǁkx,consonant,click,lateral,voiced,kx-accompaniment
gœkx/,ɡǂkx,consonant,click,palatoalveolar,voiced,kx-accompaniment
l!,lǃ,consonant,click,alveolar,voiced,l-accompaniment
NEW,ɡ͡bᵐ,consonant,stop,labiovelar,voiced,labial-postnasalized
mdz,ᵐdz,consonant,affricate,alveolar,voiced,labial-prenasalized
mdZ,ᵐdʒ,consonant,affricate,postalveolar,voiced,labial-prenasalized
medl,ᵐl,consonant,lateral-approximant,lateral,voiced,labial-prenasalized
mø,ᵐɲ,consonant,nasal,palatal,voiced,labial-prenasalized
md,ᵐd,consonant,stop,alveolar,voiced,labial-prenasalized
mgƒb,ᵐɡ͡b,consonant,stop,labiovelar,voiced,labial-prenasalized
mg,ᵐɡ,consonant,stop,velar,voiced,labial-prenasalized
m„G,mǁG,consonant,click,lateral,voiced,labial-prenasalized_G_accompaniment
dzw,dzʷ,consonant,affricate,alveolar,voiced,labialized
dƒÄw,dɣw,consonant,affricate,alveolar-to-velar,voiced,labialized
d5z5w,d̪z̪ʷ,consonant,affricate,dental,voiced,labialized
dZw,dʒʷ,consonant,affricate,postalveolar,voiced,labialized
dzƒÄw,dzɣw,consonant,affricate-to-fricative,alveolar-to-velar,voiced,labialized
dZƒÄw,dʒ͡ɣʷ,consonant,affricate-to-fricative,postalveolar-to-velar,voiced,labialized
AUTO(w),wʷ,consonant,approximant,labiovelar,voiced,labialized
jW,jʷ,consonant,approximant,palatal,voiced,labialized
