PK	GRAPHEME	NAME	EXPLICIT	DATASET	FREQUENCY	URL	FEATURES	IMAGE	SOUND	NOTE
91	d̪ʲ	palatalized voiced dental stop consonant	+	bipa	0					
92	d̪ː	long voiced dental stop consonant	+	bipa	0					
93	d̪ˠ	velarized voiced dental stop consonant	+	bipa	0					
94	d̪ˤ	pharyngealized voiced dental stop consonant	+	bipa	0					
95	d̪̙	voiced retracted-tongue-root dental stop consonant	+	bipa	0					
96	d̪̚	unreleased voiced dental stop consonant	+	bipa	0					
97	d̪̥̚	unreleased devoiced voiced dental stop consonant	+	bipa	0					DP!
98	d̪̥ⁿ	with-nasal-release devoiced voiced dental stop consonant	+	bipa	0					DP!
99	d̪̰	creaky voiced dental stop consonant	+	bipa	0					DP!
100	d̪ⁿ	with-nasal-release voiced dental stop consonant	+	bipa	0					
101	d̰	creaky voiced alveolar stop consonant	+	bipa	0					
102	d̼	voiced linguolabial stop consonant	+	bipa	0					
103	dⁿ	with-nasal-release voiced alveolar stop consonant	+	bipa	0					
104	e	unrounded close-mid front vowel	+	bipa	0					
105	eː	long unrounded close-mid front vowel	+	bipa	0					
106	eːː	ultra-long unrounded close-mid front vowel	+	bipa	0					
107	eˑ	mid-long unrounded close-mid front vowel	+	bipa	0					
108	èːː	ultra-long unrounded close-mid front with-low_tone vowel	+	bipa	0					
109	éːː	ultra-long unrounded close-mid front with-high_tone vowel	+	bipa	0					
110	êːː	ultra-long unrounded close-mid front with-falling_tone vowel	+	bipa	0					
111	ẽ	nasalized unrounded close-mid front vowel	+	bipa	0					
112	ẽː	long nasalized unrounded close-mid front vowel	+	bipa	0					
113	ĕ	ultra-short unrounded close-mid front vowel	+	bipa	0					
114	ěːː	ultra-long unrounded close-mid front with-rising_tone vowel	+	bipa	0					
115	e̞	unrounded mid front vowel	+	bipa	0					
116	e̞ː	long unrounded mid front vowel	+	bipa	0					
117	e̞ˑ	mid-long unrounded mid front vowel	+	bipa	0					
118	ẽ̞	nasalized unrounded mid front vowel	+	bipa	0					
119	ẽ̞ː	long nasalized unrounded mid front vowel	+	bipa	0					
120	e̤	breathy unrounded close-mid front vowel	+	bipa	0					
121	e̤ːː	ultra-long breathy unrounded close-mid front vowel	+	bipa	0					
122	è̤ːː	ultra-long breathy unrounded close-mid front with-low_tone vowel	+	bipa	0					
123	é̤ːː	ultra-long breathy unrounded close-mid front with-high_tone vowel	+	bipa	0					
124	ê̤ːː	ultra-long breathy unrounded close-mid front with-falling_tone vowel	+	bipa	0					
125	ě̤ːː	ultra-long breathy unrounded close-mid front with-rising_tone vowel	+	bipa	0					
126	e̥	devoiced unrounded close-mid front vowel	+	bipa	0					
127	e̯	non-syllabic unrounded close-mid front vowel	+	bipa	0					
128	ḛ	creaky unrounded close-mid front vowel	+	bipa	0					
129	f	voiceless labio-dental fricative consonant	+	bipa	0					
130	fʰ	aspirated voiceless labio-dental fricative consonant	+	bipa	0					
131	fʲ	palatalized voiceless labio-dental fricative consonant	+	bipa	0					
132	fʷː	labialized long voiceless labio-dental fricative consonant	+	bipa	0					
133	fʼ	voiceless labio-dental ejective fricative consonant	+	bipa	0					
134	fː	long voiceless labio-dental fricative consonant	+	bipa	0					
135	fːː	ultra-long voiceless labio-dental fricative consonant	+	bipa	0					
136	fˠ	velarized voiceless labio-dental fricative consonant	+	bipa	0					
137	f͉	weak voiceless labio-dental fricative consonant	+	bipa	0					
138	g	voiced velar stop consonant	+	bipa	0					
139	gb	voiced velar-and-bilabial stop consonant	+	bipa	0					
140	gd	voiced velar-and-alveolar stop consonant	+	bipa	0					
141	gǀ	voiced dental click consonant	+	bipa	0					
142	gǁ	voiced alveolar lateral click consonant	+	bipa	0					
143	gǂ	voiced palatal click consonant	+	bipa	0					
144	gǃ	voiced alveolar click consonant	+	bipa	0					
145	gǃǃ	voiced retroflex click consonant	+	bipa	0					
146	gɣ	voiced velar affricate consonant	+	bipa	0					
147	gʘ	voiced labial click consonant	+	bipa	0					
148	gʰ	aspirated voiced velar stop consonant	+	bipa	0					I think, aspirated voiced sounds are always breathy-voiced.
149	gʱ	breathy voiced velar stop consonant	+	bipa	0					
150	gʲ	palatalized voiced velar stop consonant	+	bipa	0					
151	gʷ	labialized voiced velar stop consonant	+	bipa	0					
152	gː	long voiced velar stop consonant	+	bipa	0					
153	ğ	voiced velar tap consonant	+	bipa	0					
154	g̊	devoiced voiced velar stop consonant	+	bipa	0					
155	g̊ʰ	aspirated devoiced voiced velar stop consonant	+	bipa	0					Alias candidate
156	g̙	voiced retracted-tongue-root velar stop consonant	+	bipa	0					
157	h	voiceless glottal fricative consonant	+	bipa	0					
158	hːː	ultra-long voiceless glottal fricative consonant	+	bipa	0					
159	h̃	nasalized voiceless glottal fricative consonant	+	bipa	0					Check with source.
160	h͓	with-friction voiceless glottal fricative consonant	+	bipa	0					
161	i	unrounded close front vowel	+	bipa	0					
162	iː	long unrounded close front vowel	+	bipa	0					
163	iːː	ultra-long unrounded close front vowel	+	bipa	0					
164	iˑ	mid-long unrounded close front vowel	+	bipa	0					
165	ìːː	ultra-long unrounded close front with-low_tone vowel	+	bipa	0					
166	íːː	ultra-long unrounded close front with-high_tone vowel	+	bipa	0					
167	îːː	ultra-long unrounded close front with-falling_tone vowel	+	bipa	0					
168	ĩ	nasalized unrounded close front vowel	+	bipa	0					
169	ĩː	long nasalized unrounded close front vowel	+	bipa	0					
170	ǐːː	ultra-long unrounded close front with-rising_tone vowel	+	bipa	0					
171	i̤	breathy unrounded close front vowel	+	bipa	0					
172	i̤ːː	ultra-long breathy unrounded close front vowel	+	bipa	0					
173	ì̤ːː	ultra-long breathy unrounded close front with-low_tone vowel	+	bipa	0					
174	í̤ːː	ultra-long breathy unrounded close front with-high_tone vowel	+	bipa	0					
175	î̤ːː	ultra-long breathy unrounded close front with-falling_tone vowel	+	bipa	0					
176	ǐ̤ːː	ultra-long breathy unrounded close front with-rising_tone vowel	+	bipa	0					
177	i̥	devoiced unrounded close front vowel	+	bipa	0					
178	ḭ	creaky unrounded close front vowel	+	bipa	0					
179	ḭː	long creaky unrounded close front vowel	+	bipa	0					
180	ḭːː	ultra-long creaky unrounded close front vowel	+	bipa	0					
181	i͓	unrounded close with-friction front vowel	+	bipa	0					
182	j	voiced palatal approximant consonant	+	bipa	0					
183	jː	long voiced palatal approximant consonant	+	bipa	0					
184	j̃	nasalized voiced palatal approximant consonant	+	bipa	0					
185	j̊	devoiced voiced palatal approximant consonant	+	bipa	0					
186	k	voiceless velar stop consonant	+	bipa	0					
187	kp	voiceless velar-and-bilabial stop consonant	+	bipa	0					
188	kt	voiceless velar-and-alveolar stop consonant	+	bipa	0					
189	kx	voiceless velar affricate consonant	+	bipa	0					
190	kʟ̥	voiceless velar lateral affricate consonant	+	bipa	0					
191	kʟ̥ʼ	voiceless velar ejective lateral affricate consonant	+	bipa	0					
192	kʰ	aspirated voiceless velar stop consonant	+	bipa	0					
193	kʲ	palatalized voiceless velar stop consonant	+	bipa	0					
194	kʷ	labialized voiceless velar stop consonant	+	bipa	0					
195	kʷʰ	labialized aspirated voiceless velar stop consonant	+	bipa	0					
196	kʷː	labialized long voiceless velar stop consonant	+	bipa	0					
197	kʼ	voiceless velar ejective stop consonant	+	bipa	0					
198	kʼʷ	labialized voiceless velar ejective stop consonant	+	bipa	0					
199	kː	long voiceless velar stop consonant	+	bipa	0					
200	kːː	ultra-long voiceless velar stop consonant	+	bipa	0					
201	k̙	voiceless retracted-tongue-root velar stop consonant	+	bipa	0					
202	k̚	unreleased voiceless velar stop consonant	+	bipa	0					
203	k̬	revoiced voiced velar stop consonant	+	bipa	0					Check with source.
204	k͉	weak voiceless velar stop consonant	+	bipa	0					
205	k͉ʷ	weak labialized voiceless velar stop consonant	+	bipa	0					
206	l	voiced alveolar lateral approximant consonant	+	bipa	0					
207	lʱ	breathy voiced alveolar lateral approximant consonant	+	bipa	0					
208	lʲ	palatalized voiced alveolar lateral approximant consonant	+	bipa	0					
209	lː	long voiced alveolar lateral approximant consonant	+	bipa	0					
210	lːː	ultra-long voiced alveolar lateral approximant consonant	+	bipa	0					
211	lˠ	velarized voiced alveolar lateral approximant consonant	+	bipa	0					
212	l̠	voiced post-alveolar lateral approximant consonant	+	bipa	0					
213	l̠ʲ	palatalized voiced post-alveolar lateral approximant consonant	+	bipa	0					
214	l̥	devoiced voiced alveolar lateral approximant consonant	+	bipa	0					
215	l̩	syllabic voiced alveolar lateral approximant consonant	+	bipa	0					
216	l̪	voiced dental lateral approximant consonant	+	bipa	0					
217	l̪ʲ	palatalized voiced dental lateral approximant consonant	+	bipa	0					
218	l̪ː	long voiced dental lateral approximant consonant	+	bipa	0					
219	l̪ˠ	velarized voiced dental lateral approximant consonant	+	bipa	0					
220	l̪̥	devoiced voiced dental lateral approximant consonant	+	bipa	0					
221	l̪̩	syllabic voiced dental lateral approximant consonant	+	bipa	0					
222	l̻	voiced laminal alveolar lateral approximant consonant	+	bipa	0					
223	l̼	voiced linguolabial lateral approximant consonant	+	bipa	0					
224	l͉	weak voiced alveolar lateral approximant consonant	+	bipa	0					
225	m	voiced bilabial nasal consonant	+	bipa	0					
226	mʰ	aspirated voiced bilabial nasal consonant	+	bipa	0					
227	mʱ	breathy voiced bilabial nasal consonant	+	bipa	0					
228	mʲ	palatalized voiced bilabial nasal consonant	+	bipa	0					
229	mʷ	labialized voiced bilabial nasal consonant	+	bipa	0					
230	mʷː	labialized long voiced bilabial nasal consonant	+	bipa	0					
231	mː	long voiced bilabial nasal consonant	+	bipa	0					
232	mːː	ultra-long voiced bilabial nasal consonant	+	bipa	0					
233	mˠ	velarized voiced bilabial nasal consonant	+	bipa	0					
234	mˤː	pharyngealized long voiced bilabial nasal consonant	+	bipa	0					
235	m̥	devoiced voiced bilabial nasal consonant	+	bipa	0					
236	m̩	syllabic voiced bilabial nasal consonant	+	bipa	0					
237	m͉	weak voiced bilabial nasal consonant	+	bipa	0					
238	n	voiced alveolar nasal consonant	+	bipa	0					
239	nm	voiced alveolar-and-bilabial nasal consonant	+	bipa	0					
240	nʲ	palatalized voiced alveolar nasal consonant	+	bipa	0					
241	nː	long voiced alveolar nasal consonant	+	bipa	0					
242	nːː	ultra-long voiced alveolar nasal consonant	+	bipa	0					
243	nˤ	pharyngealized voiced alveolar nasal consonant	+	bipa	0					
244	n̥	devoiced voiced alveolar nasal consonant	+	bipa	0					
245	n̩	syllabic voiced alveolar nasal consonant	+	bipa	0					
246	n̪	voiced dental nasal consonant	+	bipa	0					
247	n̪ˠ	velarized voiced dental nasal consonant	+	bipa	0					
248	n̰	creaky voiced alveolar nasal consonant	+	bipa	0					
249	n̻	voiced laminal alveolar nasal consonant	+	bipa	0					
250	n̼	voiced linguolabial nasal consonant	+	bipa	0					
251	n͉	weak voiced alveolar nasal consonant	+	bipa	0					
252	o	rounded close-mid back vowel	+	bipa	0					
253	oː	long rounded close-mid back vowel	+	bipa	0					
254	oːː	ultra-long rounded close-mid back vowel	+	bipa	0					
255	oˑ	mid-long rounded close-mid back vowel	+	bipa	0					
256	oˤ	pharyngealized rounded close-mid back vowel	+	bipa	0					
257	òːː	ultra-long rounded close-mid back with-low_tone vowel	+	bipa	0					
258	óːː	ultra-long rounded close-mid back with-high_tone vowel	+	bipa	0					
259	ôːː	ultra-long rounded close-mid back with-falling_tone vowel	+	bipa	0					
260	õ	nasalized rounded close-mid back vowel	+	bipa	0					
261	õː	long nasalized rounded close-mid back vowel	+	bipa	0					
262	ŏ	ultra-short rounded close-mid back vowel	+	bipa	0					
263	ǒːː	ultra-long rounded close-mid back with-rising_tone vowel	+	bipa	0					
264	o̞	rounded mid back vowel	+	bipa	0					
265	o̞ː	long rounded mid back vowel	+	bipa	0					
266	õ̞	nasalized rounded mid back vowel	+	bipa	0					
267	õ̞ː	long nasalized rounded mid back vowel	+	bipa	0					
268	o̤	breathy rounded close-mid back vowel	+	bipa	0					
269	o̤ːː	ultra-long breathy rounded close-mid back vowel	+	bipa	0					
270	ò̤ːː	ultra-long breathy rounded close-mid back with-low_tone vowel	+	bipa	0					
271	ó̤ːː	ultra-long breathy rounded close-mid back with-high_tone vowel	+	bipa	0					
272	ô̤ːː	ultra-long breathy rounded close-mid back with-falling_tone vowel	+	bipa	0					
273	ǒ̤ːː	ultra-long breathy rounded close-mid back with-rising_tone vowel	+	bipa	0					
274	o̥	devoiced rounded close-mid back vowel	+	bipa	0					
275	o̯	non-syllabic rounded close-mid back vowel	+	bipa	0					
276	o̰	creaky rounded close-mid back vowel	+	bipa	0					
277	p	voiceless bilabial stop consonant	+	bipa	0					
278	pf	voiceless labio-dental affricate consonant	+	bipa	0					
279	pfʰ	aspirated voiceless labio-dental affricate consonant	+	bipa	0					
280	pfʼ	voiceless labio-dental ejective affricate consonant	+	bipa	0					
281	pk	voiceless bilabial-and-velar stop consonant	+	bipa	0					
282	pt	voiceless bilabial-and-alveolar stop consonant	+	bipa	0					
283	pɸ	voiceless bilabial affricate consonant	+	bipa	0					
284	pʰ	aspirated voiceless bilabial stop consonant	+	bipa	0					
285	pʰː	aspirated long voiceless bilabial stop consonant	+	bipa	0					
286	pʲ	palatalized voiceless bilabial stop consonant	+	bipa	0					
287	pʲʰ	palatalized aspirated voiceless bilabial stop consonant	+	bipa	0					
288	pʷ	labialized voiceless bilabial stop consonant	+	bipa	0					
289	pʼ	voiceless bilabial ejective stop consonant	+	bipa	0					
290	pː	long voiceless bilabial stop consonant	+	bipa	0					
291	pːː	ultra-long voiceless bilabial stop consonant	+	bipa	0					
292	pˠ	velarized voiceless bilabial stop consonant	+	bipa	0					
293	p̚	unreleased voiceless bilabial stop consonant	+	bipa	0					
294	p̪	voiceless labio-dental stop consonant	+	bipa	0					
295	p̬	revoiced voiceless bilabial stop consonant	+	bipa	0					
296	p͉	weak voiceless bilabial stop consonant	+	bipa	0					
297	p͉ʲ	weak palatalized voiceless bilabial stop consonant	+	bipa	0					
298	q	voiceless uvular stop consonant	+	bipa	0					
299	qʰ	aspirated voiceless uvular stop consonant	+	bipa	0					
300	qʷ	labialized voiceless uvular stop consonant	+	bipa	0					
301	qʷʰ	labialized aspirated voiceless uvular stop consonant	+	bipa	0					
302	qʼ	voiceless uvular ejective stop consonant	+	bipa	0					
303	qʼʷ	labialized voiceless uvular ejective stop consonant	+	bipa	0					
304	q̚	unreleased voiceless uvular stop consonant	+	bipa	0					
305	qχ	voiceless uvular affricate consonant	+	bipa	0					
306	r	voiced alveolar trill consonant	+	bipa	0					
307	rʲ	palatalized voiced alveolar trill consonant	+	bipa	0					
308	rː	long voiced alveolar trill consonant	+	bipa	0					
309	rːː	ultra-long voiced alveolar trill consonant	+	bipa	0					
310	rˤ	pharyngealized voiced alveolar trill consonant	+	bipa	0					
311	rˤː	pharyngealized long voiced alveolar trill consonant	+	bipa	0					
312	r̃	nasalized voiced alveolar trill consonant	+	bipa	0					
313	r̠̙	retracted voiced retracted-tongue-root alveolar trill consonant	+	bipa	0					
314	ṛ	voiced retroflex trill consonant	+	bipa	0					
315	r̥	devoiced voiced alveolar trill consonant	+	bipa	0					
316	r̩	syllabic voiced alveolar trill consonant	+	bipa	0					
317	r̪	voiced dental trill consonant	+	bipa	0					
318	r̪ː	long voiced dental trill consonant	+	bipa	0					
319	r̪ˤ	pharyngealized voiced dental trill consonant	+	bipa	0					
320	r̪̥	devoiced voiced dental trill consonant	+	bipa	0					DP!
321	r̼	voiced linguolabial trill consonant	+	bipa	0					
322	s	voiceless alveolar sibilant fricative consonant	+	bipa	0					
323	sʲ	palatalized voiceless alveolar sibilant fricative consonant	+	bipa	0					
324	sʼ	voiceless alveolar ejective sibilant fricative consonant	+	bipa	0					
325	sː	long voiceless alveolar sibilant fricative consonant	+	bipa	0					
326	sːː	ultra-long voiceless alveolar sibilant fricative consonant	+	bipa	0					
327	sˠ	velarized voiceless alveolar sibilant fricative consonant	+	bipa	0					
328	s̙	voiceless retracted-tongue-root alveolar sibilant fricative consonant	+	bipa	0					
329	s̙ˀ	glottalized voiceless retracted-tongue-root alveolar sibilant fricative consonant	+	bipa	0					
330	s̩	syllabic voiceless alveolar sibilant fricative consonant	+	bipa	0					
331	s̪	voiceless dental sibilant fricative consonant	+	bipa	0					
332	s̪ʲ	palatalized voiceless dental sibilant fricative consonant	+	bipa	0					
333	s̪ʼ	voiceless dental ejective sibilant fricative consonant	+	bipa	0					
334	s̪ˠ	velarized voiceless dental sibilant fricative consonant	+	bipa	0					
335	s̫	voiceless alveolar whistled-sibilant fricative consonant	+	bipa	0					
336	s̬	revoiced voiceless alveolar sibilant fricative consonant	+	bipa	0					
337	s̻	voiceless laminal alveolar sibilant fricative consonant	+	bipa	0					
338	s͉	weak voiceless alveolar sibilant fricative consonant	+	bipa	0					
339	t	voiceless alveolar stop consonant	+	bipa	0					
340	tk	voiceless alveolar-and-velar stop consonant	+	bipa	0					
341	tp	voiceless alveolar-and-bilabial stop consonant	+	bipa	0					
342	ts	voiceless alveolar sibilant affricate consonant	+	bipa	0					
343	tsʰ	aspirated voiceless alveolar sibilant affricate consonant	+	bipa	0					
344	tsʲ	palatalized voiceless alveolar sibilant affricate consonant	+	bipa	0					
345	tsʼ	voiceless alveolar ejective sibilant affricate consonant	+	bipa	0					
346	tsː	long voiceless alveolar sibilant affricate consonant	+	bipa	0					
347	ts̪	voiceless dental sibilant affricate consonant	+	bipa	0					
348	ts̪ʰ	aspirated voiceless dental sibilant affricate consonant	+	bipa	0					
349	ts̪ʲ	palatalized voiceless dental sibilant affricate consonant	+	bipa	0					
350	ts̪ʼ	voiceless dental ejective sibilant affricate consonant	+	bipa	0					
351	ts̪ː	long voiceless dental sibilant affricate consonant	+	bipa	0					
352	ts̫	voiceless alveolar whistled-sibilant affricate consonant	+	bipa	0					
353	ts͉	weak voiceless alveolar sibilant affricate consonant	+	bipa	0					
354	tɕ	voiceless alveolo-palatal sibilant affricate consonant	+	bipa	0					
355	tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant	+	bipa	0					
356	tɕː	long voiceless alveolo-palatal sibilant affricate consonant	+	bipa	0					
357	tɕ͉	weak voiceless alveolo-palatal sibilant affricate consonant	+	bipa	0					
358	tɬ	voiceless alveolar lateral affricate consonant	+	bipa	0					
359	tɬʰ	aspirated voiceless alveolar lateral affricate consonant	+	bipa	0					
360	tɬʼ	voiceless alveolar ejective lateral affricate consonant	+	bipa	0					
361	tɬ̪	voiceless dental lateral affricate consonant	+	bipa	0					
362	tɬ̪ʰ	aspirated voiceless dental lateral affricate consonant	+	bipa	0					
363	tɬ̪ʼ	voiceless dental ejective lateral affricate consonant	+	bipa	0					
364	tɹ̠̊˔	voiceless post-alveolar affricate consonant	+	bipa	0					
365	tʃ	voiceless post-alveolar sibilant affricate consonant	+	bipa	0					
366	tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant	+	bipa	0					
367	tʃʲ	palatalized voiceless post-alveolar sibilant affricate consonant	+	bipa	0					
368	tʃʷ	labialized voiceless post-alveolar sibilant affricate consonant	+	bipa	0					
369	tʃʼ	voiceless post-alveolar ejective sibilant affricate consonant	+	bipa	0					
370	tʃʼː	long voiceless post-alveolar ejective sibilant affricate consonant	+	bipa	0					
371	tʃː	long voiceless post-alveolar sibilant affricate consonant	+	bipa	0					
372	tʃ͉	weak voiceless post-alveolar sibilant affricate consonant	+	bipa	0					
373	tʰ	aspirated voiceless alveolar stop consonant	+	bipa	0					
374	tʲ	palatalized voiceless alveolar stop consonant	+	bipa	0					
375	tʲʰ	palatalized aspirated voiceless alveolar stop consonant	+	bipa	0					
376	tʷ	labialized voiceless alveolar stop consonant	+	bipa	0					
377	tʷʰ	labialized aspirated voiceless alveolar stop consonant	+	bipa	0					
378	tʼ	voiceless alveolar ejective stop consonant	+	bipa	0					
379	tː	long voiceless alveolar stop consonant	+	bipa	0					
380	tːː	ultra-long voiceless alveolar stop consonant	+	bipa	0					
381	tˤ	pharyngealized voiceless alveolar stop consonant	+	bipa	0					
382	t̚	unreleased voiceless alveolar stop consonant	+	bipa	0					
383	t̠	voiceless post-alveolar stop consonant	+	bipa	0					
384	t̠ʃ̫	voiceless post-alveolar whistled-sibilant affricate consonant	+	bipa	0					
385	t̪	voiceless dental stop consonant	+	bipa	0					
386	t̪ʰ	aspirated voiceless dental stop consonant	+	bipa	0					
387	t̪ʰː	aspirated long voiceless dental stop consonant	+	bipa	0					
388	t̪ʲ	palatalized voiceless dental stop consonant	+	bipa	0					
389	t̪ʲʰ	palatalized aspirated voiceless dental stop consonant	+	bipa	0					
390	t̪ʷ	labialized voiceless dental stop consonant	+	bipa	0					
391	t̪ʷʰ	labialized aspirated voiceless dental stop consonant	+	bipa	0					
392	t̪ʼ	voiceless dental ejective stop consonant	+	bipa	0					
393	t̪ː	long voiceless dental stop consonant	+	bipa	0					
394	t̪ˠ	velarized voiceless dental stop consonant	+	bipa	0					
395	t̪ˤ	pharyngealized voiceless dental stop consonant	+	bipa	0					
396	t̪̙	voiceless retracted-tongue-root dental stop consonant	+	bipa	0					
397	t̪̚	unreleased voiceless dental stop consonant	+	bipa	0					
398	t̪͉	weak voiceless dental stop consonant	+	bipa	0					
399	t̪ⁿ	with-nasal-release voiceless dental stop consonant	+	bipa	0					
400	t̬	revoiced voiceless alveolar stop consonant	+	bipa	0					
401	t̺͉	weak voiceless apical dental stop consonant	+	bipa	0					
