Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
t̪̻	latin small letter t - combining bridge below - combining square below		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̪̻s̪̻	latin small letter t - combining bridge below - combining square below - latin small letter s - combining bridge below - combining square below		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̪͈	latin small letter t - combining bridge below - combining double vertical line below		0	+	-	0	-	+	-	-	+	-	+	-	-	+	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̪͉	latin small letter t - combining bridge below - combining left angle below		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̪θ	latin small letter t - combining bridge below - greek small letter theta		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̪θʰ	latin small letter t - combining bridge below - greek small letter theta - modifier letter small h		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
t̪θʼ	latin small letter t - combining bridge below - greek small letter theta - modifier letter apostrophe		0	+	-	0	-	+	+	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
t̪θ̪	latin small letter t - combining bridge below - greek small letter theta - combining bridge below		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̰	latin small letter t - combining tilde below		0	+	-	0	-	+	+	-	+	-	-	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
t̰s̰	latin small letter t - combining tilde below - latin small letter s - combining tilde below		0	+	-	0	-	+	+	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	-	-	+	-	-	0	0	-
t̺	latin small letter t - combining inverted bridge below		0	+	-	0	-	+	-	-	+	-	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̺s̺	latin small letter t - combining inverted bridge below - latin small letter s - combining inverted bridge below		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̺s̺ʰ	latin small letter t - combining inverted bridge below - latin small letter s - combining inverted bridge below - modifier letter small h		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	+	-	+	-	-	0	0	-
t̺s̺ʼ	latin small letter t - combining inverted bridge below - latin small letter s - combining inverted bridge below - modifier letter apostrophe		0	+	-	0	-	+	+	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	+	0	0	-	-	-	-	+	-	-	0	0	-
t̺s̺ː	latin small letter t - combining inverted bridge below - latin small letter s - combining inverted bridge below - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	+	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̺ʃ̺	latin small letter t - combining inverted bridge below - latin small letter esh - combining inverted bridge below		0	-	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̺ʃ̺ʷ	latin small letter t - combining inverted bridge below - latin small letter esh - combining inverted bridge below - modifier letter small w		0	-	-	0	-	+	-	-	+	+	-	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	+	-	-	-	-	+	-	-	0	0	-
t̺ʰ	latin small letter t - combining inverted bridge below - modifier letter small h		0	+	-	0	-	+	-	-	+	-	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
t̺ʼ	latin small letter t - combining inverted bridge below - modifier letter apostrophe		0	+	-	0	-	+	+	-	+	-	-	-	-	-	0	0	-	0	-	-	0	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
t̺ː	latin small letter t - combining inverted bridge below - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	-	-	-	-	-	0	0	-	0	-	+	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̺͈	latin small letter t - combining inverted bridge below - combining double vertical line below		0	+	-	0	-	+	-	-	+	-	-	-	-	+	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̺͉	latin small letter t - combining inverted bridge below - combining left angle below		0	+	-	0	-	+	-	-	+	-	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̻	latin small letter t - combining square below		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̻s̪̻	latin small letter t - combining square below - latin small letter s - combining bridge below - combining square below		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̻s̻	latin small letter t - combining square below - latin small letter s - combining square below		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̻s̻ʰ	latin small letter t - combining square below - latin small letter s - combining square below - modifier letter small h		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	+	-	+	-	-	0	0	-
t̻s̻ʼ	latin small letter t - combining square below - latin small letter s - combining square below - modifier letter apostrophe		0	+	-	0	-	+	+	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	+	0	0	-	-	-	-	+	-	-	0	0	-
t̻s̻ː	latin small letter t - combining square below - latin small letter s - combining square below - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	+	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̻ʃ̻	latin small letter t - combining square below - latin small letter esh - combining square below		0	-	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t̻ʰ	latin small letter t - combining square below - modifier letter small h		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
t̻ʰː	latin small letter t - combining square below - modifier letter small h - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	-	0	-	+	0	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
t̻ʲ	latin small letter t - combining square below - modifier letter small j		0	+	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t̻ʼ	latin small letter t - combining square below - modifier letter apostrophe		0	+	-	0	-	+	+	-	+	-	+	-	-	-	0	0	-	0	-	-	0	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
t̻ː	latin small letter t - combining square below - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	-	0	-	+	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t͇s͇	latin small letter t - combining equals sign below - latin small letter s - combining equals sign below		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t͇s͇ʰ	latin small letter t - combining equals sign below - latin small letter s - combining equals sign below - modifier letter small h		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
t͈	latin small letter t - combining double vertical line below		0	+	-	0	-	+	-	-	+	-	-	-	-	+	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t͈s	latin small letter t - combining double vertical line below - latin small letter s		0	+	-	0	-	+	-	-	+	+	-	-	-	+	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t͈sʷ	latin small letter t - combining double vertical line below - latin small letter s - modifier letter small w		0	+	-	0	-	+	-	-	+	+	-	-	-	+	0	0	+	-	-	-	0	-	-	-	-	0	+	-	-	-	-	+	-	-	0	0	-
t͈ː	latin small letter t - combining double vertical line below - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	-	-	-	-	+	0	0	-	0	-	+	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t͉	latin small letter t - combining left angle below		0	+	-	0	-	+	-	-	+	-	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
t͉s	latin small letter t - combining left angle below - latin small letter s		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	-	-	+	-	-	0	0	-
t͉ʲ	latin small letter t - combining left angle below - modifier letter small j		0	+	-	-	-	+	-	-	+	-	-	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
u	latin small letter u		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
uʱ	latin small letter u - modifier letter small h with hook		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
uˀ	latin small letter u - modifier letter glottal stop		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
uː	latin small letter u - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
uˑ	latin small letter u - modifier letter half triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
u˞	latin small letter u - modifier letter rhotic hook		-	+	+	+	0	-	-	+	+	0	+	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	+	+	-	+	0	-
u˞ˤ	latin small letter u - modifier letter rhotic hook - modifier letter small reversed glottal stop		-	+	+	+	0	-	-	+	+	0	+	+	-	0	-	+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	+	+	-	+	0	-
u˞ˤː	latin small letter u - modifier letter rhotic hook - modifier letter small reversed glottal stop - modifier letter triangular colon		-	+	+	+	0	-	-	+	+	0	+	+	-	0	-	+	+	-	-	+	-	-	-	+	-	+	+	-	+	-	-	+	+	-	+	0	-
uˤ	latin small letter u - modifier letter small reversed glottal stop		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	0	+	-	+	0	-
uˤː	latin small letter u - modifier letter small reversed glottal stop - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	+	+	-	+	-	-	0	+	-	+	0	-
ũ	latin small letter u - combining tilde		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ũː	latin small letter u - combining tilde - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ũˤ	latin small letter u - combining tilde - modifier letter small reversed glottal stop		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	+	+	-	+	+	-	+	-	-	0	+	-	+	0	-
ŭ	latin small letter u - combining breve		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
ŭ̃	latin small letter u - combining breve - combining tilde		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	+	+	-	-	+	+	+	-	-	0	+	-	+	0	-
ü	latin small letter u - combining diaeresis		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
üː	latin small letter u - combining diaeresis - modifier letter triangular colon		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
u̘	latin small letter u - combining left tack below		+	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
u̙	latin small letter u - combining right tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	0	+	-	+	0	-
u̜	latin small letter u - combining left half ring below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
u̞	latin small letter u - combining down tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
u̞ː	latin small letter u - combining down tack below - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
u̞ˑ	latin small letter u - combining down tack below - modifier letter half triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-	0	+	-	0	0	-
u̟	latin small letter u - combining plus sign below		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
u̠	latin small letter u - combining minus sign below		-	-	+	+	0	-	-	+	-	0	+	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
u̠u	latin small letter u - combining minus sign below - latin small letter u		-	-	+	+	0	-	-	+	-	0	+	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ṳ	latin small letter u - combining diaeresis below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
ṳː	latin small letter u - combining diaeresis below - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
ṳˑ	latin small letter u - combining diaeresis below - modifier letter half triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-	0	+	-	+	0	-
ṳ̃ː	latin small letter u - combining diaeresis below - combining tilde - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	+	+	-	-	+	-	+	+	-	0	+	-	+	0	-
u̥	latin small letter u - combining ring below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	-	-	-	+	-	+	-	-	0	+	-	+	0	-
u̯	latin small letter u - combining inverted breve below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	-	-	+	0	-
ũ̯	latin small letter u - combining inverted breve below - combining tilde		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	-	-	+	0	-
ṵ	latin small letter u - combining tilde below		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ṵː	latin small letter u - combining tilde below - modifier letter triangular colon		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ṵ̃	latin small letter u - combining tilde below - combining tilde		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
u͓	latin small letter u - combining x below		-	0	+	+	0	-	-	+	-	+	0	+	-	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
uᴱ	latin small letter u - modifier letter capital e		-	0	+	+	0	-	-	+	-	0	0	+	+	0	-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
v	latin small letter v		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
vʱ	latin small letter v - modifier letter small h with hook		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
vʲ	latin small letter v - modifier letter small j		0	0	-	-	-	+	-	+	-	+	0	+	-	-	+	+	+	+	-	-	-	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
vʷ	latin small letter v - modifier letter small w		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	+	-	-	-	-	0	-	-	0	0	-
vː	latin small letter v - modifier letter triangular colon		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	+	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
vˠ	latin small letter v - modifier letter small gamma		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	+	+	-	-	-	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
vˤ	latin small letter v - modifier letter small reversed glottal stop		-	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	+	-	-	-	-	-	0	-	-	0	0	-
ṽ	latin small letter v - combining tilde		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	-	0	-	+	+	-	0	-	-	-	-	-	0	-	-	0	0	-
v̤	latin small letter v - combining diaeresis below		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
v̥	latin small letter v - combining ring below		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
v̩	latin small letter v - combining vertical line below		0	0	-	0	-	+	-	+	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	0	-	-	-	-	-	0	+	-	0	0	-
v̼	latin small letter v - combining seagull below		0	0	-	0	-	+	-	+	+	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
w	latin small letter w		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	-	-	0	-	-	+	0	-
wʰ	latin small letter w - modifier letter small h		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	-	-	0	+	-	+	+	-	0	-	-	+	0	-
wʱ	latin small letter w - modifier letter small h with hook		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	+	-	0	-	-	+	0	-
wʲ	latin small letter w - modifier letter small j		0	0	+	-	-	-	-	+	-	0	0	+	-	-	+	+	+	-	-	-	-	-	-	+	-	0	+	-	+	-	-	0	-	-	+	0	-
wʼ	latin small letter w - modifier letter apostrophe		0	0	+	+	-	-	+	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	-	+	0	+	-	+	-	-	0	-	-	+	0	-
wˀ	latin small letter w - modifier letter glottal stop		0	0	+	+	-	-	+	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	-	-	0	-	-	+	0	-
wː	latin small letter w - modifier letter triangular colon		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	+	-	-	-	+	-	0	+	-	+	-	-	0	-	-	+	0	-
w˞	latin small letter w - modifier letter rhotic hook		0	+	+	+	-	-	-	+	+	0	+	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	-	-	+	-	-	+	0	-
wˤ	latin small letter w - modifier letter small reversed glottal stop		-	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-	0	-	-	+	0	-
w̃	latin small letter w - combining tilde		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	+	+	-	0	+	-	+	-	-	0	-	-	+	0	-
ẅ	latin small letter w - combining diaeresis		0	0	+	0	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	-	-	0	-	-	0	0	-
w̜	latin small letter w - combining left half ring below		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	0	-	+	-	-	0	-	-	+	0	-
w̜ʲ	latin small letter w - combining left half ring below - modifier letter small j		0	0	+	-	-	-	-	+	-	0	0	+	-	-	+	+	+	-	-	-	-	-	-	+	-	0	0	-	+	-	-	0	-	-	+	0	-
w̞	latin small letter w - combining down tack below		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	-	-	0	-	-	-	0	-
w̤	latin small letter w - combining diaeresis below		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	+	-	0	-	-	+	0	-
w̥	latin small letter w - combining ring below		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	-	-	0	+	-	+	-	-	0	-	-	+	0	-
w̰	latin small letter w - combining tilde below		0	0	+	+	-	-	+	+	-	0	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	+	-	-	0	-	-	+	0	-
x	latin small letter x		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
xʰ	latin small letter x - modifier letter small h		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	-	0	-	-	-	-	-	-	-	0	0	-	-	+	-	0	-	-	0	0	-
xʲ	latin small letter x - modifier letter small j		0	0	-	-	-	+	-	+	-	+	0	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
xʲː	latin small letter x - modifier letter small j - modifier letter triangular colon		0	0	-	-	-	+	-	+	-	+	0	+	-	-	+	+	-	0	-	+	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
xʷ	latin small letter x - modifier letter small w		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
xʷʼ	latin small letter x - modifier letter small w - modifier letter apostrophe		0	0	-	-	-	+	+	+	-	+	0	+	-	-	-	+	+	-	-	-	-	-	-	-	+	0	+	-	-	-	-	0	-	-	0	0	-
xʷː	latin small letter x - modifier letter small w - modifier letter triangular colon		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	+	-	-	+	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
xʼ	latin small letter x - modifier letter apostrophe		0	0	-	-	-	+	+	+	-	+	0	+	-	-	-	+	-	0	-	-	-	-	-	-	+	0	0	-	-	-	-	0	-	-	0	0	-
xː	latin small letter x - modifier letter triangular colon		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	-	0	-	+	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
x̟ʲ	latin small letter x - combining plus sign below - modifier letter small j		0	0	-	-	-	+	-	+	-	+	0	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
x̠	latin small letter x - combining minus sign below		0	-	-	-	-	+	-	+	-	+	+	+	-	-	-	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
x̥	latin small letter x - combining ring below		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
x͈	latin small letter x - combining double vertical line below		0	0	-	-	-	+	-	+	-	+	0	+	-	+	-	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
x͈ʷ	latin small letter x - combining double vertical line below - modifier letter small w		0	0	-	-	-	+	-	+	-	+	0	+	-	+	-	+	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	0	-	-	0	0	-
x͈ː	latin small letter x - combining double vertical line below - modifier letter triangular colon		0	0	-	-	-	+	-	+	-	+	0	+	-	+	-	+	-	0	-	+	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
x͉	latin small letter x - combining left angle below		0	0	-	-	-	+	-	+	-	+	0	+	-	-	-	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	0	-	-	0	0	-
y	latin small letter y		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
yʼ	latin small letter y - modifier letter apostrophe		-	0	+	-	0	-	+	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	-	-	+	-	+	-	+	-	-	0	+	-	+	0	-
yː	latin small letter y - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
yˑ	latin small letter y - modifier letter half triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
ỹ	latin small letter y - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ỹː	latin small letter y - combining tilde - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	+	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
y̆	latin small letter y - combining breve		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
y̞	latin small letter y - combining down tack below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
y̠	latin small letter y - combining minus sign below		-	-	+	-	0	-	-	+	-	0	+	+	-	0	+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
y̤	latin small letter y - combining diaeresis below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
y̰	latin small letter y - combining tilde below		-	0	+	-	0	-	+	+	-	0	0	+	-	0	+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
