Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
a̙ː	latin small letter a - combining right tack below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	+	0	-	+	-	-	0	+	-	0	0	-
a̙ˠ	latin small letter a - combining right tack below - modifier letter small gamma		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	+	0	-	+	-	-	0	+	-	0	0	-
a̞	latin small letter a - combining down tack below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̟	latin small letter a - combining plus sign below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̟ː	latin small letter a - combining plus sign below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	-	-	0	-	+	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̟˞	latin small letter a - combining plus sign below - modifier letter rhotic hook		-	+	+	-	0	-	-	+	+	0	+	+	-	0	0	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	+	+	-	0	0	-
ã̟	latin small letter a - combining plus sign below - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	-	-	0	-	-	+	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ã̟ː	latin small letter a - combining plus sign below - combining tilde - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	-	-	0	-	+	+	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̟̙ː	latin small letter a - combining plus sign below - combining right tack below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	-	-	0	-	+	+	-	-	+	-	+	0	-	+	-	-	0	+	-	0	0	-
a̠	latin small letter a - combining minus sign below		-	-	+	-	0	-	-	+	-	0	+	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̠ː	latin small letter a - combining minus sign below - modifier letter triangular colon		-	-	+	-	0	-	-	+	-	0	+	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ä̠	latin small letter a - combining minus sign below - combining diaeresis		-	-	+	-	0	-	-	+	-	0	+	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ä̠ː	latin small letter a - combining minus sign below - combining diaeresis - modifier letter triangular colon		-	-	+	-	0	-	-	+	-	0	+	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̤	latin small letter a - combining diaeresis below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	+	-	0	+	-	0	0	-
a̤ː	latin small letter a - combining diaeresis below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	-	+	+	-	0	+	-	0	0	-
a̤ˑ	latin small letter a - combining diaeresis below - modifier letter half triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	+	+	+	-	0	+	-	0	0	-
ã̤	latin small letter a - combining diaeresis below - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	+	+	-	-	0	-	+	+	-	0	+	-	0	0	-
ã̤̈ː	latin small letter a - combining diaeresis below - combining tilde - combining diaeresis - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	+	+	-	-	0	-	+	+	-	0	+	-	0	0	-
ä̤	latin small letter a - combining diaeresis below - combining diaeresis		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	+	-	0	+	-	0	0	-
ḁ	latin small letter a - combining ring below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	-	-	-	0	-	+	-	-	0	+	-	0	0	-
