Grapheme	Name	Alias	anterior	approximant	back	click	consonantal	constricted	continuant	coronal	distributed	dorsal	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
lˠ	velarized voiced alveolar lateral approximant consonant		+	+	+	-	+	-	-	+	-	+	+	-	+	+	0	-	-	0	+	0	0	0	0	-	+	-	-	-	-	+
l̠	voiced post-alveolar lateral approximant consonant		0	+	0	-	+	-	-	0	0	0	0	0	+	+	0	0	-	0	-	0	0	0	0	0	+	-	0	-	-	+
l̠ʲ	palatalized voiced post-alveolar lateral approximant consonant		-	+	0	-	+	-	-	+	+	0	0	0	+	+	0	0	-	0	-	0	0	0	0	-	+	-	-	-	-	+
l̥	devoiced voiced alveolar lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
l̩	syllabic voiced alveolar lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	+	-	+
l̪	voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
l̪ʲ	palatalized voiced dental lateral approximant consonant		-	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
l̪ː	long voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	+	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
l̪̥	devoiced voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	-
l̪̩	syllabic voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	+	+	+
l̻	voiced laminal alveolar lateral approximant consonant	l	+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
l̼	voiced linguolabial lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	+	+	+	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
m	voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	-	0	-	-	+
mʰ	aspirated voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	+	0	-	-	+
mʱ	breathy voiced bilabial nasal consonant	mʰ	0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	+	0	-	-	+
mʲ	palatalized voiced bilabial nasal consonant		-	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	-	-	+	-	-	+
mʷ	labialized voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	+	0	-	-	0	-	-	+
