Grapheme	Name	Alias	anterior	approximant	back	click	consonantal	constricted	continuant	coronal	distributed	dorsal	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
ǃ	voiceless alveolar click consonant		+	-	0	+	+	0	-	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
ǃǃ	voiceless retroflex click consonant		-	-	0	+	+	0	-	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
ȡ	voiced alveolo-palatal stop consonant		0	-	-	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	+	+
ȴ	voiced alveolo-palatal lateral approximant consonant		0	+	-	-	+	-	-	-	0	+	+	-	+	+	0	-	-	0	+	0	0	0	0	0	+	-	0	-	+	+
ȵ	voiced alveolo-palatal nasal consonant		0	-	-	-	+	-	-	-	0	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	+	+
ȵ̊	devoiced voiced alveolo-palatal nasal consonant		0	-	-	-	+	-	-	-	0	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	+	-
ȶ	voiceless alveolo-palatal stop consonant		0	-	-	-	+	0	-	-	0	+	+	-	-	-	0	-	-	0	+	0	0	0	0	0	-	0	0	-	+	0
ɐ	unrounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	0	+	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɐː	long unrounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	+	+	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɐ̃	nasalized unrounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	0	+	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɐ̃ː	long nasalized unrounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	+	+	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɐ̯	non-syllabic unrounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	0	+	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ɑ	unrounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	+	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɑː	long unrounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɑ̃	nasalized unrounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	+	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɑ̃ː	long nasalized unrounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɒ	rounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	+	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ɒː	long rounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	+	+	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ɒ̃	nasalized rounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	+	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ɒ̃ː	long nasalized rounded open back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	+	+	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ɓ	voiced bilabial implosive consonant		0	-	0	0	+	+	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	-	0	-	-	+
ɓʲ	palatalized voiced bilabial implosive consonant		-	-	0	0	+	+	-	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	-	-	-	+
ɔ	rounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ɔː	long rounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ɔ̃	nasalized rounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ɔ̃ː	long nasalized rounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ɔ̯	non-syllabic rounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	-	-	+
ɕ	voiceless alveolo-palatal sibilant fricative consonant		-	-	-	-	+	0	+	+	-	+	+	-	-	-	0	-	-	0	+	0	0	0	0	+	-	0	+	-	+	0
ɖ	voiced retroflex stop consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
ɖʐ	voiced retroflex sibilant affricate consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	-	-	-	-	+
ɖʱ	breathy voiced retroflex stop consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	+
ɗ	voiced dental implosive consonant		+	-	0	0	+	+	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	+	+
ɗ̥	devoiced voiced dental implosive consonant		+	-	0	0	+	+	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	+	-
ɘ	unrounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɘː	long unrounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɘ̃	nasalized unrounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɘ̃ː	long nasalized unrounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ə	unrounded mid central vowel		-	+	0	-	-	0	+	-	+	+	0	0	+	-	0	0	-	0	+	0	0	0	0	0	+	0	0	+	-	+
ɛ	unrounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	-	+	-	-	+	-	-
ɛː	long unrounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	-	+	-	-	+	-	-
ɛ̃	nasalized unrounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	-	+	-	-	+	-	-
ɛ̃ː	long nasalized unrounded open-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	-	+	-	-	+	-	-
ɜ	unrounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɜː	long unrounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɜ̃	nasalized unrounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɜ̃ː	long nasalized unrounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɞ	rounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ɞː	long rounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ɞ̃	nasalized rounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ɞ̃ː	long nasalized rounded open-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ɞ̞	rounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	+	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ɞ̞ː	long rounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	+	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ɞ̞̃	nasalized rounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	+	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ɞ̞̃ː	long nasalized rounded near-open central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	+	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ɟ	voiced palatal stop consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
ɟʝ	voiced palatal affricate consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	+	-	-	-	-	+
ɠ	voiced velar implosive consonant		0	-	+	0	+	+	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
ɢ	voiced uvular stop consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
ɢʁ	voiced uvular affricate consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	-	-	+
ɢʰ	aspirated voiced uvular stop consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	+	0	-	-	+
ɣ	voiced velar fricative consonant		0	-	+	-	+	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
ɣʷ	labialized voiced velar fricative consonant		0	-	+	-	+	-	+	-	0	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	-	-	0	-	-	+
ɣ̊	devoiced voiced velar fricative consonant		0	-	+	-	+	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
ɤ	unrounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɤː	long unrounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɤ̃	nasalized unrounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɤ̃ː	long nasalized unrounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɤ̆	ultra-short unrounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	-	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɤ̯	non-syllabic unrounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	+	+
ɥ	voiced labio-palatal approximant consonant		-	-	0	0	-	-	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
ɦ	voiced glottal fricative consonant		0	-	0	-	-	-	+	0	0	0	0	0	+	-	0	0	-	0	-	0	0	0	0	0	-	-	0	-	-	+
ɧ	voiceless palatal-velar fricative consonant		0	-	0	-	+	0	+	0	0	0	0	0	-	-	0	0	-	0	-	0	0	0	0	0	-	0	0	-	-	0
ɨ	unrounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɨː	long unrounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɨ̃	nasalized unrounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɨ̃ː	long nasalized unrounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɪ	unrounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	+	-	+
ɪː	long unrounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	+	-	-	0	+	0	0	0	0	-	+	-	-	+	-	+
ɪ̃	nasalized unrounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	-	+	-	-	+	-	+
ɪ̃ː	long nasalized unrounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	+	-	+	0	+	0	0	0	0	-	+	-	-	+	-	+
ɪ̈	unrounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɪ̈ː	long unrounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɪ̈̃	nasalized unrounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɪ̈̃ː	long nasalized unrounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɪ̥	devoiced unrounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	+	-	-
ɪ̯	non-syllabic unrounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɬ	voiceless alveolar lateral fricative consonant		+	-	0	-	+	0	+	+	-	-	0	-	-	+	0	0	-	0	+	0	0	0	0	-	-	0	+	-	-	0
ɬʼ	voiceless alveolar ejective lateral fricative consonant		+	-	0	-	+	+	+	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	-	-	+	-	-	-
ɬ̪	voiceless dental lateral fricative consonant		+	-	0	-	+	0	+	+	+	-	0	-	-	+	0	0	-	0	+	0	0	0	0	-	-	0	+	-	+	0
ɬ̪ʼ	voiceless dental ejective lateral fricative consonant		+	-	0	-	+	+	+	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	-	-	+	-	+	-
ɬ̼	voiceless linguolabial lateral fricative consonant		+	-	0	-	+	0	+	+	-	-	0	+	-	+	0	0	-	0	+	0	0	0	-	-	-	0	+	-	-	0
ɭ	voiced retroflex lateral approximant consonant		-	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɭ̊	devoiced voiced retroflex lateral approximant consonant		-	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
ɭ̩	syllabic voiced retroflex lateral approximant consonant		-	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	+	-	+
ɮ	voiced alveolar lateral fricative consonant		+	-	0	-	+	-	+	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	-	-	+	-	-	+
ɮ̼	voiced linguolabial lateral fricative consonant		+	-	0	-	+	-	+	+	-	-	0	+	+	+	0	0	-	0	+	0	0	0	-	-	-	-	+	-	-	+
ɯ	unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɯː	long unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ɯ̃	nasalized unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɯ̃ː	long nasalized unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	+	+
ɯ̤	breathy unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	+	0	+	+	+
ɯ̥	devoiced unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	-
ɯ̥̃	nasalized devoiced unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	+	-
ɯ̯	non-syllabic unrounded close back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	+	+
ɯ̽	unrounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɯ̽ː	long unrounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ɯ̽̃	nasalized unrounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɯ̽̃ː	long nasalized unrounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ɰ	voiced velar approximant consonant		0	+	+	0	-	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ɱ	voiced labio-dental nasal consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	-	-	+	-	-	+
ɱ̊	devoiced voiced labio-dental nasal consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	-	-	+	-	-	-
ɲ	voiced palatal nasal consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	-	-	0	+	-	-	0
ɲː	long voiced palatal nasal consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	+	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
ɲ̊	devoiced voiced palatal nasal consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	-
ɲ̍	syllabic voiced palatal nasal consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	+	-	+
ɳ	voiced retroflex nasal consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
ɳ̊	devoiced voiced retroflex nasal consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	-
ɳ̍	syllabic voiced retroflex nasal consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	+	-	+
ɴ	voiced uvular nasal consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	-	+
ɴ̥	devoiced voiced uvular nasal consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	-	-
ɴ̩	syllabic voiced uvular nasal consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	+	-	+
ɵ	rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ɵː	long rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ɵ̃	nasalized rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ɵ̃ː	long nasalized rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ɶ	rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	+	-	0	+	0	0	0	+	-	+	-	-	+	+	+
ɶː	long rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	+	-	0	+	0	0	0	+	-	+	-	-	+	+	+
ɶ̃	nasalized rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	+	+	0	+	0	0	0	+	-	+	-	-	+	+	+
ɶ̃ː	long nasalized rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	+	+	0	+	0	0	0	+	-	+	-	-	+	+	+
ɸ	voiceless bilabial fricative consonant		0	-	0	-	+	0	+	-	0	-	0	+	-	-	0	0	-	0	+	0	0	0	-	0	-	0	0	-	-	0
ɹ	voiced alveolar approximant consonant		+	-	0	0	-	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɹ̠	voiced post-alveolar approximant consonant		0	-	0	0	-	-	+	0	0	0	0	0	+	-	0	0	-	0	-	0	0	0	0	0	+	-	0	-	-	+
ɹ̩	syllabic voiced alveolar approximant consonant		+	-	0	0	-	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	+	-	+
ɺ	voiced alveolar lateral tap consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɻ	voiced retroflex approximant consonant		-	-	0	0	-	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɽ	voiced retroflex tap consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɽʱ	breathy voiced retroflex tap consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	+	-	-	-	+
ɾ	voiced alveolar tap consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɾ̥	devoiced voiced alveolar tap consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
ɾ̼	voiced linguolabial tap consonant		+	-	0	-	+	-	-	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
ɿ	unrounded close with-frication back vowel		-	+	+	0	-	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ʀ	voiced uvular trill consonant		0	+	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ʀ̥	devoiced voiced uvular trill consonant		0	+	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	-
ʁ	voiced uvular fricative consonant		0	-	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
ʁ̞	voiced uvular approximant consonant		0	-	+	0	-	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ʁ̥	devoiced voiced uvular fricative consonant		0	-	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
ʂ	voiceless retroflex sibilant fricative consonant		-	-	0	-	+	0	+	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	-	-	0
ʃ	voiceless post-alveolar sibilant fricative consonant		-	-	0	-	+	0	+	+	-	0	0	0	-	-	0	0	-	0	-	0	0	0	0	+	-	0	+	-	-	0
ʃʲ	palatalized voiceless post-alveolar sibilant fricative consonant		-	-	0	-	+	0	+	+	+	0	0	0	-	-	0	0	-	0	-	0	0	0	0	+	-	0	+	-	-	0
ʃʼ	voiceless post-alveolar ejective sibilant fricative consonant		-	-	0	-	+	+	+	+	-	0	0	0	+	-	0	0	-	0	-	0	0	0	0	+	-	-	+	-	-	-
ʄ	voiced palatal implosive consonant		-	-	0	0	+	+	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
ʅ	unrounded close with-frication central vowel		-	+	-	0	-	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ʇ̼	voiced linguolabial click consonant		+	-	0	+	+	-	-	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	-	-	-	+
ʈ	voiceless retroflex stop consonant		-	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
ʈʂ	voiceless retroflex sibilant affricate consonant		-	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	+	0	+	0	0	0	0	+	+	0	-	-	-	0
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	+	-	-	-	-
ʈʂː	long voiced retroflex sibilant affricate consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	+	0	+	0	0	0	0	+	+	-	-	-	-	+
ʈʂ’	voiceless retroflex ejective sibilant affricate consonant		-	-	0	-	+	+	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	-	-	-	-	-
ʈʰ	aspirated voiceless retroflex stop consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	-
ʈʰː	aspirated long voiceless retroflex stop consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	+	-	-	-	-
ʉ	rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ʉː	long rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ʉ̃	nasalized rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ʉ̃ː	long nasalized rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ʊ	rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊː	long rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̃	nasalized rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̃ː	long nasalized rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̈	rounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
