GRAPHEME	NAME
nʱː	long breathy voiced alveolar nasal consonant
nʱˠ	velarized breathy voiced alveolar nasal consonant
nʱˤ	pharyngealized breathy voiced alveolar nasal consonant
nʲ	palatalized voiced alveolar nasal consonant
nʲʰ	palatalized aspirated voiced alveolar nasal consonant
nʲʰː	palatalized aspirated long voiced alveolar nasal consonant
nʲʱ	palatalized breathy voiced alveolar nasal consonant
nʲʷ	palatalized labialized voiced alveolar nasal consonant
nʲː	palatalized long voiced alveolar nasal consonant
nʲˑ	palatalized mid-long voiced alveolar nasal consonant
nʷ	labialized voiced alveolar nasal consonant
nʷʰ	labialized aspirated voiced alveolar nasal consonant
nʷʰː	labialized aspirated long voiced alveolar nasal consonant
nʷʱ	labialized breathy voiced alveolar nasal consonant
nʷˀ	labialized glottalized voiced alveolar nasal consonant
nʷː	labialized long voiced alveolar nasal consonant
nʷˠ	labialized velarized voiced alveolar nasal consonant
nʷˤ	labialized pharyngealized voiced alveolar nasal consonant
nˀ	glottalized voiced alveolar nasal consonant
nː	long voiced alveolar nasal consonant
nˑ	mid-long voiced alveolar nasal consonant
nˠ	velarized voiced alveolar nasal consonant
nˠː	velarized long voiced alveolar nasal consonant
nˤ	pharyngealized voiced alveolar nasal consonant
nˤː	pharyngealized long voiced alveolar nasal consonant
n̚	unreleased voiced alveolar nasal consonant
n̞	lowered voiced alveolar nasal consonant
n̟	advanced voiced alveolar nasal consonant
n̟ʲ	advanced palatalized voiced alveolar nasal consonant
n̠	retracted voiced alveolar nasal consonant
n̠ʰ	retracted aspirated voiced alveolar nasal consonant
n̠ʰː	retracted aspirated long voiced alveolar nasal consonant
n̠ʱ	retracted breathy voiced alveolar nasal consonant
n̠ʲ	retracted palatalized voiced alveolar nasal consonant
n̠ʲː	retracted palatalized long voiced alveolar nasal consonant
n̠ʷ	retracted labialized voiced alveolar nasal consonant
n̠ʷː	retracted labialized long voiced alveolar nasal consonant
n̠ː	retracted long voiced alveolar nasal consonant
n̠̥	retracted devoiced voiced alveolar nasal consonant
n̠̩ː	retracted syllabic long voiced alveolar nasal consonant
n̥	devoiced voiced alveolar nasal consonant
n̥ʰ	aspirated devoiced voiced alveolar nasal consonant
n̥ʰː	aspirated long devoiced voiced alveolar nasal consonant
n̥ʱ	devoiced breathy voiced alveolar nasal consonant
n̥ʲ	palatalized devoiced voiced alveolar nasal consonant
n̥ʲʰ	palatalized aspirated devoiced voiced alveolar nasal consonant
n̥ʲʰː	palatalized aspirated long devoiced voiced alveolar nasal consonant
n̥ʲː	palatalized long devoiced voiced alveolar nasal consonant
n̥ʷ	labialized devoiced voiced alveolar nasal consonant
n̥ʷʰ	labialized aspirated devoiced voiced alveolar nasal consonant
n̥ʷʰː	labialized aspirated long devoiced voiced alveolar nasal consonant
n̥ʷː	labialized long devoiced voiced alveolar nasal consonant
n̥ː	long devoiced voiced alveolar nasal consonant
n̥ˠ	velarized devoiced voiced alveolar nasal consonant
n̥ˤ	pharyngealized devoiced voiced alveolar nasal consonant
n̩	syllabic voiced alveolar nasal consonant
n̩ʱ	syllabic breathy voiced alveolar nasal consonant
n̩ʲ	syllabic palatalized voiced alveolar nasal consonant
n̩ʲː	syllabic palatalized long voiced alveolar nasal consonant
n̩ʷ	syllabic labialized voiced alveolar nasal consonant
n̩ʷː	syllabic labialized long voiced alveolar nasal consonant
n̩ː	syllabic long voiced alveolar nasal consonant
n̩ˑ	syllabic mid-long voiced alveolar nasal consonant
n̩̥	syllabic devoiced voiced alveolar nasal consonant
n̩̥ʲ	syllabic palatalized devoiced voiced alveolar nasal consonant
n̩̥ʲː	syllabic palatalized long devoiced voiced alveolar nasal consonant
n̩̥ʷ	syllabic labialized devoiced voiced alveolar nasal consonant
n̩̥ʷː	syllabic labialized long devoiced voiced alveolar nasal consonant
n̩̥ː	syllabic long devoiced voiced alveolar nasal consonant
n̪	voiced dental nasal consonant
n̪ʰ	aspirated voiced dental nasal consonant
n̪ʰː	aspirated long voiced dental nasal consonant
n̪ʱ	breathy voiced dental nasal consonant
n̪ʱː	long breathy voiced dental nasal consonant
n̪ʱˠ	velarized breathy voiced dental nasal consonant
n̪ʱˤ	pharyngealized breathy voiced dental nasal consonant
n̪ʲ	palatalized voiced dental nasal consonant
n̪ʲʱ	palatalized breathy voiced dental nasal consonant
n̪ʲʷ	palatalized labialized voiced dental nasal consonant
n̪ʲː	palatalized long voiced dental nasal consonant
n̪ʷ	labialized voiced dental nasal consonant
n̪ʷʱ	labialized breathy voiced dental nasal consonant
n̪ʷˀ	labialized glottalized voiced dental nasal consonant
n̪ʷː	labialized long voiced dental nasal consonant
n̪ʷˠ	labialized velarized voiced dental nasal consonant
n̪ʷˤ	labialized pharyngealized voiced dental nasal consonant
n̪ˀ	glottalized voiced dental nasal consonant
n̪ː	long voiced dental nasal consonant
n̪ˠ	velarized voiced dental nasal consonant
n̪ˠː	velarized long voiced dental nasal consonant
n̪ˤ	pharyngealized voiced dental nasal consonant
n̪ˤː	pharyngealized long voiced dental nasal consonant
n̪̟	advanced voiced dental nasal consonant
n̪̠	retracted voiced dental nasal consonant
n̪̥	devoiced voiced dental nasal consonant
n̪̥ʱ	devoiced breathy voiced dental nasal consonant
n̪̥ʲ	palatalized devoiced voiced dental nasal consonant
n̪̥ʷ	labialized devoiced voiced dental nasal consonant
n̪̥ː	long devoiced voiced dental nasal consonant
n̪̥ˠ	velarized devoiced voiced dental nasal consonant
n̪̥ˤ	pharyngealized devoiced voiced dental nasal consonant
n̪̩	syllabic voiced dental nasal consonant
n̪̰	creaky voiced dental nasal consonant
n̪̰ʲ	palatalized creaky voiced dental nasal consonant
n̪̰ʷ	labialized creaky voiced dental nasal consonant
n̪̰ː	long creaky voiced dental nasal consonant
n̪̰ˠ	velarized creaky voiced dental nasal consonant
n̪̰ˤ	pharyngealized creaky voiced dental nasal consonant
n̪̺	voiced apical dental nasal consonant
n̪̻	voiced laminal dental nasal consonant
n̪ᶣ	labio-palatalized voiced dental nasal consonant
n̪’	voiced dental ejective nasal consonant
n̰	creaky voiced alveolar nasal consonant
n̰ʲ	palatalized creaky voiced alveolar nasal consonant
n̰ʷ	labialized creaky voiced alveolar nasal consonant
n̰ː	long creaky voiced alveolar nasal consonant
n̰ˠ	velarized creaky voiced alveolar nasal consonant
n̰ˤ	pharyngealized creaky voiced alveolar nasal consonant
n̺	voiced apical alveolar nasal consonant
n̻	voiced laminal alveolar nasal consonant
n̻ʲ	palatalized voiced laminal alveolar nasal consonant
n̻ː	long voiced laminal alveolar nasal consonant
n̼	voiced linguolabial nasal consonant
n͈ː	strong long voiced alveolar nasal consonant
nᶣ	labio-palatalized voiced alveolar nasal consonant
n’	voiced alveolar ejective nasal consonant
n’ʲ	palatalized voiced alveolar ejective nasal consonant
n’ˀ	glottalized voiced alveolar ejective nasal consonant
n’ː	long voiced alveolar ejective nasal consonant
n’ˤ	pharyngealized voiced alveolar ejective nasal consonant
n’̥	devoiced voiced alveolar ejective nasal consonant
o	rounded close-mid back vowel
oz̻	voiced laminal alveolar sibilant fricative consonant
oˀ	glottalized rounded close-mid back vowel
oː	long rounded close-mid back vowel
oːː	ultra-long rounded close-mid back vowel
oː̟	long advanced rounded close-mid back vowel
oː̠	long retracted rounded close-mid back vowel
oˑ	mid-long rounded close-mid back vowel
oˑ̟	mid-long advanced rounded close-mid back vowel
o˞	rhotacized rounded close-mid back vowel
oˠ	velarized rounded close-mid back vowel
oˠː	long velarized rounded close-mid back vowel
oˤ	pharyngealized rounded close-mid back vowel
oˤː	long pharyngealized rounded close-mid back vowel
ò	rounded close-mid back with_low_tone vowel
ó	rounded close-mid back with_high_tone vowel
ô	rounded close-mid back with_falling_tone vowel
ôː	long rounded close-mid back with_falling_tone vowel
ôˑ	mid-long rounded close-mid back with_falling_tone vowel
ôˑ̠	mid-long retracted rounded close-mid back with_falling_tone vowel
õ	nasalized rounded close-mid back vowel
õˀ	glottalized nasalized rounded close-mid back vowel
õː	long nasalized rounded close-mid back vowel
õˑ	mid-long nasalized rounded close-mid back vowel
õˤ	pharyngealized nasalized rounded close-mid back vowel
ŏ	ultra-short rounded close-mid back vowel
ö	centralized rounded close-mid back vowel
ǒˑ	mid-long rounded close-mid back with_rising_tone vowel
o̘	advanced-tongue-root rounded close-mid back vowel
o̘ː	long advanced-tongue-root rounded close-mid back vowel
o̘ˠ	velarized advanced-tongue-root rounded close-mid back vowel
o̙	retracted-tongue-root rounded close-mid back vowel
o̙ː	long retracted-tongue-root rounded close-mid back vowel
o̙ˠ	velarized retracted-tongue-root rounded close-mid back vowel
o̜	less-rounded rounded close-mid back vowel
o̜ː	long less-rounded rounded close-mid back vowel
o̜ˑ	mid-long less-rounded rounded close-mid back vowel
o̝	raised rounded close-mid back vowel
o̝ː	long raised rounded close-mid back vowel
o̝ˑ	mid-long raised rounded close-mid back vowel
ô̝	raised rounded close-mid back with_falling_tone vowel
ô̝ː	long raised rounded close-mid back with_falling_tone vowel
ô̝ˑ	mid-long raised rounded close-mid back with_falling_tone vowel
õ̝	raised nasalized rounded close-mid back vowel
õ̝ː	long raised nasalized rounded close-mid back vowel
o̝̜ˑ	mid-long raised less-rounded rounded close-mid back vowel
o̝̹	raised more-rounded rounded close-mid back vowel
o̞	rounded mid back vowel
o̞ː	long rounded mid back vowel
o̞ˑ	mid-long rounded mid back vowel
o̞ˤ	pharyngealized rounded mid back vowel
o̞ˤː	long pharyngealized rounded mid back vowel
ô̞	rounded mid back with_falling_tone vowel
ô̞ː	long rounded mid back with_falling_tone vowel
ô̞ˑ	mid-long rounded mid back with_falling_tone vowel
õ̞	nasalized rounded mid back vowel
õ̞ː	long nasalized rounded mid back vowel
õ̞ˑ	mid-long nasalized rounded mid back vowel
o̞̙	retracted-tongue-root rounded mid back vowel
o̞̜	less-rounded rounded mid back vowel
o̞̜ː	long less-rounded rounded mid back vowel
o̞̜ˑ	mid-long less-rounded rounded mid back vowel
o̞̟	advanced rounded mid back vowel
o̞̥	devoiced rounded mid back vowel
o̞̰	creaky rounded mid back vowel
o̟	advanced rounded close-mid back vowel
o̠	retracted rounded close-mid back vowel
o̤	breathy rounded close-mid back vowel
o̤ː	long breathy rounded close-mid back vowel
o̤ˑ	mid-long breathy rounded close-mid back vowel
o̤ˠ	velarized breathy rounded close-mid back vowel
o̤ˤ	pharyngealized breathy rounded close-mid back vowel
õ̤	nasalized breathy rounded close-mid back vowel
õ̤ˤ	pharyngealized nasalized breathy rounded close-mid back vowel
o̥	devoiced rounded close-mid back vowel
o̥ː	long devoiced rounded close-mid back vowel
o̥ˠ	velarized devoiced rounded close-mid back vowel
o̥ˤ	pharyngealized devoiced rounded close-mid back vowel
õ̥	nasalized devoiced rounded close-mid back vowel
õ̥ː	long nasalized devoiced rounded close-mid back vowel
o̥̤	devoiced breathy rounded close-mid back vowel
o̥̯	non-syllabic devoiced rounded close-mid back vowel
o̥̯ː	long non-syllabic devoiced rounded close-mid back vowel
õ̥̯	non-syllabic nasalized devoiced rounded close-mid back vowel
õ̥̯ː	long non-syllabic nasalized devoiced rounded close-mid back vowel
o̯	non-syllabic rounded close-mid back vowel
o̯ː	long non-syllabic rounded close-mid back vowel
õ̯	non-syllabic nasalized rounded close-mid back vowel
õ̯ː	long non-syllabic nasalized rounded close-mid back vowel
o̰	creaky rounded close-mid back vowel
o̰ː	long creaky rounded close-mid back vowel
o̰ˑ	mid-long creaky rounded close-mid back vowel
o̰ˠ	velarized creaky rounded close-mid back vowel
o̰ˤ	pharyngealized creaky rounded close-mid back vowel
õ̰	nasalized creaky rounded close-mid back vowel
o̹	more-rounded rounded close-mid back vowel
o̹ˑ	mid-long more-rounded rounded close-mid back vowel
ô̹	more-rounded rounded close-mid back with_falling_tone vowel
ô̹ˑ	mid-long more-rounded rounded close-mid back with_falling_tone vowel
õ̹ˑ	mid-long more-rounded nasalized rounded close-mid back vowel
p	voiceless bilabial stop consonant
pf	voiceless labio-dental affricate consonant
pfʰ	aspirated voiceless labio-dental affricate consonant
pfʰː	aspirated long voiceless labio-dental affricate consonant
pfʰˠ	aspirated velarized voiceless labio-dental affricate consonant
pfʰˤ	aspirated pharyngealized voiceless labio-dental affricate consonant
pfʲ	palatalized voiceless labio-dental affricate consonant
pfʲʰ	palatalized aspirated voiceless labio-dental affricate consonant
pfʲʷ	palatalized labialized voiceless labio-dental affricate consonant
pfʲʷʰ	palatalized labialized aspirated voiceless labio-dental affricate consonant
pfʲː	palatalized long voiceless labio-dental affricate consonant
pfʷ	labialized voiceless labio-dental affricate consonant
pfʷʰ	labialized aspirated voiceless labio-dental affricate consonant
pfʷʰː	labialized aspirated long voiceless labio-dental affricate consonant
pfʷʰˠ	labialized aspirated velarized voiceless labio-dental affricate consonant
pfʷʰˤ	labialized aspirated pharyngealized voiceless labio-dental affricate consonant
pfʷˀ	labialized glottalized voiceless labio-dental affricate consonant
pfʷː	labialized long voiceless labio-dental affricate consonant
pfʷˠ	labialized velarized voiceless labio-dental affricate consonant
pfʷˤ	labialized pharyngealized voiceless labio-dental affricate consonant
pfʼ	voiceless labio-dental ejective affricate consonant
pfˀ	glottalized voiceless labio-dental affricate consonant
pfː	long voiceless labio-dental affricate consonant
pfˠ	velarized voiceless labio-dental affricate consonant
pfˠː	velarized long voiceless labio-dental affricate consonant
pfˤ	pharyngealized voiceless labio-dental affricate consonant
pfˤː	pharyngealized long voiceless labio-dental affricate consonant
pf̟	advanced voiceless labio-dental affricate consonant
pf̠	retracted voiceless labio-dental affricate consonant
pf’ʲ	palatalized voiceless labio-dental ejective affricate consonant
pf’ʷ	labialized voiceless labio-dental ejective affricate consonant
pf’ʷˤ	labialized pharyngealized voiceless labio-dental ejective affricate consonant
pf’ː	long voiceless labio-dental ejective affricate consonant
pf’ˤ	pharyngealized voiceless labio-dental ejective affricate consonant
pɸ	voiceless bilabial affricate consonant
pɸʰ	aspirated voiceless bilabial affricate consonant
pɸʰː	aspirated long voiceless bilabial affricate consonant
pɸʰˠ	aspirated velarized voiceless bilabial affricate consonant
pɸʰˤ	aspirated pharyngealized voiceless bilabial affricate consonant
pɸʲ	palatalized voiceless bilabial affricate consonant
pɸʲʰ	palatalized aspirated voiceless bilabial affricate consonant
pɸʲʷ	palatalized labialized voiceless bilabial affricate consonant
pɸʲʷʰ	palatalized labialized aspirated voiceless bilabial affricate consonant
pɸʲː	palatalized long voiceless bilabial affricate consonant
pɸʷ	labialized voiceless bilabial affricate consonant
pɸʷʰ	labialized aspirated voiceless bilabial affricate consonant
pɸʷʰː	labialized aspirated long voiceless bilabial affricate consonant
pɸʷʰˠ	labialized aspirated velarized voiceless bilabial affricate consonant
pɸʷʰˤ	labialized aspirated pharyngealized voiceless bilabial affricate consonant
pɸʷˀ	labialized glottalized voiceless bilabial affricate consonant
pɸʷː	labialized long voiceless bilabial affricate consonant
pɸʷˠ	labialized velarized voiceless bilabial affricate consonant
pɸʷˤ	labialized pharyngealized voiceless bilabial affricate consonant
pɸˀ	glottalized voiceless bilabial affricate consonant
pɸː	long voiceless bilabial affricate consonant
pɸˠ	velarized voiceless bilabial affricate consonant
pɸˠː	velarized long voiceless bilabial affricate consonant
pɸˤ	pharyngealized voiceless bilabial affricate consonant
pɸˤː	pharyngealized long voiceless bilabial affricate consonant
pɸ̟	advanced voiceless bilabial affricate consonant
pɸ̠	retracted voiceless bilabial affricate consonant
pɸ’	voiceless bilabial ejective affricate consonant
pɸ’ʲ	palatalized voiceless bilabial ejective affricate consonant
pɸ’ʷ	labialized voiceless bilabial ejective affricate consonant
pɸ’ʷˤ	labialized pharyngealized voiceless bilabial ejective affricate consonant
pɸ’ː	long voiceless bilabial ejective affricate consonant
pɸ’ˤ	pharyngealized voiceless bilabial ejective affricate consonant
pʰ	aspirated voiceless bilabial stop consonant
pʰʲ	palatalized aspirated voiceless bilabial stop consonant
pʰː	aspirated long voiceless bilabial stop consonant
pʰˠ	aspirated velarized voiceless bilabial stop consonant
pʰˡ	aspirated with-lateral-release voiceless bilabial stop consonant
pʰˤ	aspirated pharyngealized voiceless bilabial stop consonant
pʱ	breathy voiceless bilabial stop consonant
pʲ	palatalized voiceless bilabial stop consonant
pʲʰː	palatalized aspirated long voiceless bilabial stop consonant
pʲʷ	palatalized labialized voiceless bilabial stop consonant
pʲʷʰ	palatalized labialized aspirated voiceless bilabial stop consonant
pʲː	palatalized long voiceless bilabial stop consonant
pʲ̚	palatalized unreleased voiceless bilabial stop consonant
pʷ	labialized voiceless bilabial stop consonant
pʷʰ	labialized aspirated voiceless bilabial stop consonant
pʷʰː	labialized aspirated long voiceless bilabial stop consonant
pʷʰˠ	labialized aspirated velarized voiceless bilabial stop consonant
pʷʰˤ	labialized aspirated pharyngealized voiceless bilabial stop consonant
pʷˀ	labialized glottalized voiceless bilabial stop consonant
pʷː	labialized long voiceless bilabial stop consonant
pʷˠ	labialized velarized voiceless bilabial stop consonant
pʷˤ	labialized pharyngealized voiceless bilabial stop consonant
pʼ	voiceless bilabial ejective stop consonant
pˀ	glottalized voiceless bilabial stop consonant
pː	long voiceless bilabial stop consonant
pˑ	mid-long voiceless bilabial stop consonant
pˠ	velarized voiceless bilabial stop consonant
pˠː	velarized long voiceless bilabial stop consonant
pˡ	with-lateral-release voiceless bilabial stop consonant
pˤ	pharyngealized voiceless bilabial stop consonant
pˤː	pharyngealized long voiceless bilabial stop consonant
p̃	nasalized voiceless bilabial stop consonant
p̚	unreleased voiceless bilabial stop consonant
p̟	advanced voiceless bilabial stop consonant
p̠	retracted voiceless bilabial stop consonant
p̩	syllabic voiceless bilabial stop consonant
p̩ʲ	syllabic palatalized voiceless bilabial stop consonant
p̩ʲː	syllabic palatalized long voiceless bilabial stop consonant
p̩ʷ	syllabic labialized voiceless bilabial stop consonant
p̩ʷː	syllabic labialized long voiceless bilabial stop consonant
p̩ː	syllabic long voiceless bilabial stop consonant
p̪	voiceless labio-dental stop consonant
p̬	revoiced voiceless bilabial stop consonant
p̰	creaky voiceless bilabial stop consonant
p̻	voiceless laminal bilabial stop consonant
p͈	strong voiceless bilabial stop consonant
p͈ː	strong long voiceless bilabial stop consonant
p’ʲ	palatalized voiceless bilabial ejective stop consonant
p’ʲʷ	palatalized labialized voiceless bilabial ejective stop consonant
p’ʷ	labialized voiceless bilabial ejective stop consonant
p’ʷˤ	labialized pharyngealized voiceless bilabial ejective stop consonant
p’ː	long voiceless bilabial ejective stop consonant
p’ˤ	pharyngealized voiceless bilabial ejective stop consonant
pⁿ	with-nasal-release voiceless bilabial stop consonant
q	voiceless uvular stop consonant
qʰ	aspirated voiceless uvular stop consonant
qʰː	aspirated long voiceless uvular stop consonant
qʰˠ	aspirated velarized voiceless uvular stop consonant
qʰˤ	aspirated pharyngealized voiceless uvular stop consonant
qʲ	palatalized voiceless uvular stop consonant
qʲʰ	palatalized aspirated voiceless uvular stop consonant
qʲʰː	palatalized aspirated long voiceless uvular stop consonant
qʲʷ	palatalized labialized voiceless uvular stop consonant
qʲʷʰ	palatalized labialized aspirated voiceless uvular stop consonant
qʲʷː	palatalized labialized long voiceless uvular stop consonant
qʲʷˤ	palatalized labialized pharyngealized voiceless uvular stop consonant
qʲʷˤː	palatalized labialized pharyngealized long voiceless uvular stop consonant
qʲː	palatalized long voiceless uvular stop consonant
qʲˤ	palatalized pharyngealized voiceless uvular stop consonant
qʲˤː	palatalized pharyngealized long voiceless uvular stop consonant
qʷ	labialized voiceless uvular stop consonant
qʷʰ	labialized aspirated voiceless uvular stop consonant
qʷʰː	labialized aspirated long voiceless uvular stop consonant
qʷʰˠ	labialized aspirated velarized voiceless uvular stop consonant
qʷʰˤ	labialized aspirated pharyngealized voiceless uvular stop consonant
qʷˀ	labialized glottalized voiceless uvular stop consonant
qʷː	labialized long voiceless uvular stop consonant
qʷˠ	labialized velarized voiceless uvular stop consonant
qʷˤ	labialized pharyngealized voiceless uvular stop consonant
qʷˤː	labialized pharyngealized long voiceless uvular stop consonant
qʼ	voiceless uvular ejective stop consonant
qʼʷ	labialized voiceless uvular ejective stop consonant
qˀ	glottalized voiceless uvular stop consonant
qː	long voiceless uvular stop consonant
qˠ	velarized voiceless uvular stop consonant
qˠː	velarized long voiceless uvular stop consonant
qˤ	pharyngealized voiceless uvular stop consonant
qˤː	pharyngealized long voiceless uvular stop consonant
q̚	unreleased voiceless uvular stop consonant
q̟	advanced voiceless uvular stop consonant
q̠	retracted voiceless uvular stop consonant
q̩	syllabic voiceless uvular stop consonant
q̩ʲ	syllabic palatalized voiceless uvular stop consonant
q̩ʲː	syllabic palatalized long voiceless uvular stop consonant
q̩ʷ	syllabic labialized voiceless uvular stop consonant
q̩ʷː	syllabic labialized long voiceless uvular stop consonant
q̩ː	syllabic long voiceless uvular stop consonant
q̰	creaky voiceless uvular stop consonant
q̰ʷ	labialized creaky voiceless uvular stop consonant
q̺	voiceless apical uvular stop consonant
q͈	strong voiceless uvular stop consonant
q͈ʷ	strong labialized voiceless uvular stop consonant
qχ	voiceless uvular affricate consonant
qχʰ	aspirated voiceless uvular affricate consonant
qχʰː	aspirated long voiceless uvular affricate consonant
qχʰˠ	aspirated velarized voiceless uvular affricate consonant
qχʰˤ	aspirated pharyngealized voiceless uvular affricate consonant
qχʲ	palatalized voiceless uvular affricate consonant
qχʲʰ	palatalized aspirated voiceless uvular affricate consonant
qχʲʷ	palatalized labialized voiceless uvular affricate consonant
qχʲʷʰ	palatalized labialized aspirated voiceless uvular affricate consonant
qχʲː	palatalized long voiceless uvular affricate consonant
qχʷ	labialized voiceless uvular affricate consonant
qχʷʰ	labialized aspirated voiceless uvular affricate consonant
qχʷʰː	labialized aspirated long voiceless uvular affricate consonant
qχʷʰˠ	labialized aspirated velarized voiceless uvular affricate consonant
qχʷʰˤ	labialized aspirated pharyngealized voiceless uvular affricate consonant
qχʷˀ	labialized glottalized voiceless uvular affricate consonant
qχʷː	labialized long voiceless uvular affricate consonant
qχʷˠ	labialized velarized voiceless uvular affricate consonant
qχʷˤ	labialized pharyngealized voiceless uvular affricate consonant
qχˀ	glottalized voiceless uvular affricate consonant
qχː	long voiceless uvular affricate consonant
qχˠ	velarized voiceless uvular affricate consonant
qχˠː	velarized long voiceless uvular affricate consonant
qχˤ	pharyngealized voiceless uvular affricate consonant
qχˤː	pharyngealized long voiceless uvular affricate consonant
qχ̟	advanced voiceless uvular affricate consonant
qχ̠	retracted voiceless uvular affricate consonant
qχᶣ	labio-palatalized voiceless uvular affricate consonant
qχᶣʰ	labio-palatalized aspirated voiceless uvular affricate consonant
qχ’	voiceless uvular ejective affricate consonant
qχ’ʲ	palatalized voiceless uvular ejective affricate consonant
qχ’ʷ	labialized voiceless uvular ejective affricate consonant
qχ’ʷˤ	labialized pharyngealized voiceless uvular ejective affricate consonant
qχ’ː	long voiceless uvular ejective affricate consonant
qχ’ˤ	pharyngealized voiceless uvular ejective affricate consonant
qᶣ	labio-palatalized voiceless uvular stop consonant
qᶣʰ	labio-palatalized aspirated voiceless uvular stop consonant
q’ʲ	palatalized voiceless uvular ejective stop consonant
q’ʲʷ	palatalized labialized voiceless uvular ejective stop consonant
q’ʲʷˤ	palatalized labialized pharyngealized voiceless uvular ejective stop consonant
q’ʲː	palatalized long voiceless uvular ejective stop consonant
q’ʲˤ	palatalized pharyngealized voiceless uvular ejective stop consonant
q’ʷː	labialized long voiceless uvular ejective stop consonant
q’ʷˤ	labialized pharyngealized voiceless uvular ejective stop consonant
q’ː	long voiceless uvular ejective stop consonant
q’ˤ	pharyngealized voiceless uvular ejective stop consonant
qⁿ	with-nasal-release voiceless uvular stop consonant
r	voiced alveolar trill consonant
rʰ	aspirated voiced alveolar trill consonant
rʱ	breathy voiced alveolar trill consonant
rʱː	long breathy voiced alveolar trill consonant
rʱˠ	velarized breathy voiced alveolar trill consonant
rʱˤ	pharyngealized breathy voiced alveolar trill consonant
rʲ	palatalized voiced alveolar trill consonant
rʲʱ	palatalized breathy voiced alveolar trill consonant
rʲʷ	palatalized labialized voiced alveolar trill consonant
rʲː	palatalized long voiced alveolar trill consonant
rʷ	labialized voiced alveolar trill consonant
rʷʱ	labialized breathy voiced alveolar trill consonant
rʷˀ	labialized glottalized voiced alveolar trill consonant
rʷː	labialized long voiced alveolar trill consonant
rʷˠ	labialized velarized voiced alveolar trill consonant
rʷˤ	labialized pharyngealized voiced alveolar trill consonant
rˀ	glottalized voiced alveolar trill consonant
rː	long voiced alveolar trill consonant
rˠ	velarized voiced alveolar trill consonant
rˠː	velarized long voiced alveolar trill consonant
rˤ	pharyngealized voiced alveolar trill consonant
rˤː	pharyngealized long voiced alveolar trill consonant
r̃	nasalized voiced alveolar trill consonant
r̃ː	nasalized long voiced alveolar trill consonant
r̃ˤ	nasalized pharyngealized voiced alveolar trill consonant
r̝	raised voiced alveolar trill consonant
r̝̥	raised devoiced voiced alveolar trill consonant
r̞	lowered voiced alveolar trill consonant
r̟	advanced voiced alveolar trill consonant
r̟ʲ	advanced palatalized voiced alveolar trill consonant
r̠	retracted voiced alveolar trill consonant
r̠ʲ	retracted palatalized voiced alveolar trill consonant
r̥	devoiced voiced alveolar trill consonant
r̥ʰ	aspirated devoiced voiced alveolar trill consonant
r̥ʱ	devoiced breathy voiced alveolar trill consonant
r̥ʲ	palatalized devoiced voiced alveolar trill consonant
r̥ʲː	palatalized long devoiced voiced alveolar trill consonant
r̥ʷ	labialized devoiced voiced alveolar trill consonant
r̥ː	long devoiced voiced alveolar trill consonant
r̥ˠ	velarized devoiced voiced alveolar trill consonant
r̥ˤ	pharyngealized devoiced voiced alveolar trill consonant
r̩	syllabic voiced alveolar trill consonant
r̩ː	syllabic long voiced alveolar trill consonant
r̩̥	syllabic devoiced voiced alveolar trill consonant
r̪	voiced dental trill consonant
r̪ʱ	breathy voiced dental trill consonant
r̪ʱː	long breathy voiced dental trill consonant
r̪ʱˠ	velarized breathy voiced dental trill consonant
r̪ʱˤ	pharyngealized breathy voiced dental trill consonant
r̪ʲ	palatalized voiced dental trill consonant
r̪ʲʱ	palatalized breathy voiced dental trill consonant
r̪ʲʷ	palatalized labialized voiced dental trill consonant
r̪ʲː	palatalized long voiced dental trill consonant
r̪ʷ	labialized voiced dental trill consonant
r̪ʷʱ	labialized breathy voiced dental trill consonant
r̪ʷˀ	labialized glottalized voiced dental trill consonant
r̪ʷː	labialized long voiced dental trill consonant
r̪ʷˠ	labialized velarized voiced dental trill consonant
r̪ʷˤ	labialized pharyngealized voiced dental trill consonant
r̪ˀ	glottalized voiced dental trill consonant
r̪ː	long voiced dental trill consonant
r̪ˠ	velarized voiced dental trill consonant
r̪ˠː	velarized long voiced dental trill consonant
r̪ˤ	pharyngealized voiced dental trill consonant
r̪ˤː	pharyngealized long voiced dental trill consonant
r̪̃	nasalized voiced dental trill consonant
r̪̃ː	nasalized long voiced dental trill consonant
r̪̃ˤ	nasalized pharyngealized voiced dental trill consonant
r̪̝	raised voiced dental trill consonant
r̪̞	lowered voiced dental trill consonant
r̪̟	advanced voiced dental trill consonant
r̪̠	retracted voiced dental trill consonant
r̪̥	devoiced voiced dental trill consonant
r̪̥ʱ	devoiced breathy voiced dental trill consonant
r̪̥ʲ	palatalized devoiced voiced dental trill consonant
r̪̥ʷ	labialized devoiced voiced dental trill consonant
r̪̥ː	long devoiced voiced dental trill consonant
r̪̥ˠ	velarized devoiced voiced dental trill consonant
r̪̥ˤ	pharyngealized devoiced voiced dental trill consonant
r̪̩	syllabic voiced dental trill consonant
r̪̰	creaky voiced dental trill consonant
r̪̰ʲ	palatalized creaky voiced dental trill consonant
r̪̰ʷ	labialized creaky voiced dental trill consonant
r̪̰ː	long creaky voiced dental trill consonant
r̪̰ˠ	velarized creaky voiced dental trill consonant
r̪̰ˤ	pharyngealized creaky voiced dental trill consonant
